gene_id,transcript_id,length
GSDMC,XR_928339.3,81190
GSDMD,NM_001166237.1,9676
GSDME,XM_024446670.2,97185
GSE1,XM_005255861.6,506620
GSEC,NR_033839.1,13872
GSG1,XM_011520860.2,20136
GSG1L,NM_001323900.2,276187
GSG1L2,NM_001310219.2,21472
GSK3A,NM_019884.3,12413
GSK3B,NM_002093.4,273127
GSK3B-DT,NR_186627.1,15276
GSKIP,NM_001271906.2,23763
GSN,NM_001353053.1,131360
GSN-AS1,NR_103560.1,4763
GSPT1,NM_001130007.2,48527
GSPT2,NM_018094.5,2791
GSR,NM_000637.5,49781
GSS,NM_001322494.1,27595
GSTA1,NM_145740.5,12446
GSTA2,XM_047418684.1,13389
GSTA3,NM_000847.5,13053
GSTA4,XM_005249035.5,17332
GSTA5,XM_054328422.1,14554
GSTA7P,NR_033760.1,5697
GSTCD,NM_024751.3,138942
GSTCD-AS1,NR_125927.1,12028
GSTK1,NM_001143681.2,5675
GSTM1,NM_146421.3,5929
GSTM2,NM_001142368.2,15941
GSTM2P1,NR_002932.2,1136
GSTM3,NM_000849.5,7102
GSTM4,XR_007059238.1,11629
GSTM5,XM_005270784.5,6518
GSTO1,NM_001191003.2,13283
GSTO2,NM_001191013.2,35767
GSTP1,NM_000852.4,2842
GSTT1,NM_001293807.1,8179
GSTT1-AS1,NR_132348.1,252
GSTT2,NM_001302670.1,3888
GSTT2B,NM_001363804.1,3793
GSTT4,XM_054329455.1,16829
GSTTP2,NR_003082.1,15962
GSTZ1,NM_145871.3,10562
GSX1,NM_145657.3,2286
GSX2,NM_133267.3,2336
GTDC1,NM_001376307.2,395002
GTF2A1,NM_201595.3,45939
GTF2A1-AS1,NR_135252.1,2163
GTF2A1L,NM_001193487.3,61749
GTF2A2,NM_001320930.2,19454
GTF2B,NM_001514.6,38935
GTF2E1,NM_005513.3,40326
GTF2E2,NM_002095.6,79919
GTF2F1,NM_002096.3,13593
GTF2F2,NM_004128.3,164384
GTF2H1,NM_005316.4,44479
GTF2H2,XM_054329950.1,50632
GTF2H2B,NR_033417.1,35008
GTF2H2C,XM_054329548.1,35035
GTF2H2C_2,XM_054329552.1,69387
GTF2H3,NM_001271867.2,28776
GTF2H4,NM_001517.5,5900
GTF2H5,NM_207118.3,30995
GTF2I,NM_001518.5,102975
GTF2I-AS1,NR_110044.1,39982
GTF2IP1,NR_002206.3,52323
GTF2IP12,NR_135112.1,5059
GTF2IP13,XR_007060308.1,36002
GTF2IP20,NR_132119.1,41379
GTF2IP23,NR_135738.1,36824
GTF2IP4,NR_003580.2,52373
GTF2IP7,NR_135079.1,16700
GTF2IP8,XR_007066431.1,63889
GTF2IRD1,XM_011516713.2,148700
GTF2IRD1P1,NR_003934.2,34894
GTF2IRD2,NM_001368300.2,55455
GTF2IRD2B,NM_001003795.3,57228
GTF3A,NM_002097.3,11205
GTF3C1,NM_001520.4,89301
GTF3C2,NM_001394510.1,30911
GTF3C2-AS1,NR_038427.1,2262
GTF3C2-AS2,NR_183826.1,11116
GTF3C3,NM_012086.5,36649
GTF3C4,NR_133925.1,24921
GTF3C5,XM_017015316.2,27796
GTF3C6,NM_138408.4,9167
GTPBP1,XM_047441614.1,37172
GTPBP10,NM_001042717.3,44738
GTPBP2,XM_024446476.2,10840
GTPBP3,NM_001195422.1,7750
GTPBP4,NM_012341.3,31499
GTPBP6,XM_047442544.1,14038
GTPBP8,NM_138485.2,10986
GTSCR1,NR_160904.1,20436
GTSE1,NM_016426.7,33941
GTSE1-DT,NR_024009.1,1518
GTSF1,NM_144594.3,17646
GTSF1L,NM_176791.4,839
GUCA1A,NM_001384910.1,6693
GUCA1ANB-GUCA1A,NM_001319062.2,24651
GUCA1B,NM_002098.6,11673
GUCA1C,XM_011513334.3,47404
GUCA2A,NM_033553.3,2056
GUCA2B,NM_007102.3,2411
GUCD1,NM_001284251.2,15457
GUCY1A1,XM_047450148.1,70212
GUCY1A2,NM_001256424.2,344458
GUCY1B1,NM_001291955.3,48791
GUCY1B2,NR_003923.2,71647
GUCY2C,NM_004963.4,83968
GUCY2C-AS1,NR_186173.1,70584
GUCY2D,NM_000180.4,17728
GUCY2EP,NR_024042.2,41624
GUCY2F,NM_001522.3,109181
GUCY2GP,NR_028134.1,48418
GUF1,XM_047416065.1,22509
GUK1,NM_001242839.1,8872
GULP1,NM_001375952.1,304053
GUSB,NM_000181.4,21530
GUSBP1,NR_027026.2,229666
GUSBP10,NR_030766.1,14487
GUSBP11,NR_024448.2,78937
GUSBP14,NR_029426.1,151316
GUSBP15,NR_034021.1,495195
GUSBP16,NR_146391.1,167740
GUSBP17,NR_033968.1,40259
GUSBP19,NR_027503.1,26377
GUSBP2,NR_003504.3,85068
GUSBP3,NR_027386.2,72167
GUSBP4,NR_132999.1,28377
GUSBP5,NR_003675.2,1989
GVINP1,NR_003945.1,8741
GVQW3,NM_001347884.2,33312
GXYLT1,NM_173601.2,63030
GXYLT1P3,NR_121572.1,5160
GXYLT2,NM_001080393.2,88870
GYG1,XM_017006275.2,40236
GYG2,NM_001184704.2,53889
GYG2P1,NR_033667.1,15475
GYPA,XM_017008135.3,31416
GYPB,XM_011531904.4,24193
GYPC,NM_016815.4,40510
GYPE,NM_198682.3,34696
GYS1,NM_002103.5,25180
GYS2,XM_024448960.2,72271
GZF1,XM_047440376.1,11936
GZMA,NM_006144.4,7607
GZMB,NM_001346011.2,3237
GZMH,NM_033423.5,3206
GZMK,NM_002104.3,10315
GZMM,NM_001258351.2,5870
H1-0,NM_005318.4,2204
H1-1,NM_005325.4,756
H1-10,NM_006026.4,1516
H1-10-AS1,NR_026991.1,8299
H1-2,NM_005319.4,731
H1-3,NM_005320.3,776
H1-4,NM_005321.3,787
H1-5,NM_005322.3,797
H1-6,NM_005323.4,724
H1-7,NM_181788.1,1300
H1-8,NM_153833.3,8293
H1-9P,NR_024193.1,1049
H19,NR_131224.2,6091
H2AB1,NM_001017990.2,587
H2AB2,NM_001017991.3,591
H2AB3,NM_080720.3,591
H2AC1,NM_170745.3,500
H2AC11,NM_021064.5,493
H2AC12,NM_080596.3,457
H2AC13,NM_003509.3,495
H2AC14,NM_021066.3,476
H2AC15,NM_003510.3,496
H2AC16,NM_003511.3,482
H2AC17,NM_003514.2,487
H2AC18,NM_003516.3,533
H2AC19,NM_001040874.1,534
H2AC20,NM_003517.3,494
H2AC21,NM_175065.3,497
H2AC25,NM_033445.3,510
H2AC2P,NR_045125.2,5325
H2AC4,NM_003513.3,527
H2AC6,NM_003512.4,519
H2AC7,NM_021065.3,510
H2AC8,NM_021052.4,517
H2AJ,NR_027716.3,3598
H2AL3,NM_001395555.1,633
H2AP,NM_012274.2,536
H2AX,NM_002105.3,1592
H2AZ1,NM_002106.4,2188
H2AZ1-DT,NR_125923.1,87212
H2AZ2,NM_138635.3,21238
H2AZ2-DT,NR_187581.1,1095
H2BC1,NM_170610.3,569
H2BC10,NM_003525.3,482
H2BC11,NM_021058.4,480
H2BC12,NM_080593.2,8566
H2BC12L,NM_017445.3,467
H2BC13,NM_003519.4,451
H2BC14,NM_003521.3,468
H2BC15,NM_003520.4,542
H2BC17,NM_003527.4,467
H2BC18,NM_001161334.2,29682
H2BC20P,NR_036461.1,582
H2BC21,NM_003528.3,2224
H2BC26,NM_175055.3,456
H2BC3,NM_021062.3,487
H2BC4,NM_001381989.1,10757
H2BC5,NM_138720.2,13229
H2BC6,NM_003523.3,470
H2BC6-AS1,NR_186648.1,12500
H2BC7,NM_003522.4,473
H2BC8,NM_003518.4,489
H2BC9,NM_003524.3,462
H2BK1,NM_001369125.3,2652
H2BN1,NM_001401340.1,11154
H2BP1,NR_160942.1,10118
H2BP2,NR_160915.1,57749
H2BW1,NM_001002916.5,2562
H2BW2,XM_011530922.3,2499
H2BW3P,NR_130172.1,2435
H2BW4P,NR_003238.2,2434
H3-3A,NM_001379043.1,10189
H3-3A-DT,NR_185887.1,16165
H3-3B,NM_005324.5,3346
H3-4,NM_003493.3,516
H3-5,NM_001013699.3,1114
H3-7,NM_001355409.3,3592
H3C1,NM_003529.3,508
H3C10,NM_003536.3,486
H3C11,NM_003533.3,502
H3C12,NM_003535.3,512
H3C13,NM_001123375.3,469
H3C14,NM_021059.3,522
H3C15,NM_001005464.3,518
H3C2,NM_003537.4,511
H3C3,NM_003531.3,486
H3C4,NM_003530.4,2510
H3C6,NM_001381999.1,3296
H3C7,NM_021018.3,494
H3C8,NM_003534.3,496
H3P14,XR_007058230.1,609
H3P4,NR_160941.1,58864
H3P6,NR_002315.1,1059
H3Y1,NM_001355258.2,982
H3Y2,NM_001371919.1,1110
H4C1,NM_003538.4,402
H4C11,NM_021968.4,389
H4C12,NM_003541.3,387
H4C13,NM_003546.3,387
H4C14,NM_003548.2,396
H4C15,XM_047424434.1,16672
H4C16,NM_175054.2,412
H4C2,NM_003544.3,388
H4C3,NM_003542.4,405
H4C4,NM_003539.4,403
H4C5,NM_003545.4,412
H4C6,NM_003540.4,401
H4C7,NM_003547.3,386
H4C8,NM_003543.4,409
H4C9,NM_003495.3,397
H6PD,XM_006711052.5,36564
HAAO,XM_011532730.4,25495
HABP2,NM_001177660.3,38772
HABP4,XM_047423008.1,41235
HACD1,NM_014241.4,28343
HACD2,NM_001329783.2,93500
HACD3,NM_016395.4,47887
HACD4,XM_017014713.2,32132
HACE1,NM_001350554.2,131826
HACL1,NM_012260.4,40871
HADH,NM_005327.7,45283
HADHA,NM_000182.5,53998
HADHB,NM_001281512.2,45527
HAFML,NR_183975.1,51960
HAGH,NM_005326.6,19197
HAGHL,NM_001365282.1,2610
HAGLR,NR_033979.2,15770
HAGLROS,NR_110457.1,844
HAL,NM_002108.4,23683
HAMP,NM_021175.4,2616
HAND1,NM_004821.3,3256
HAND2,NM_021973.3,4139
HAND2-AS1,NR_136196.1,60885
HAO1,NM_017545.3,57474
HAO2,XM_024447485.2,25346
HAO2-IT1,NR_046780.1,1386
HAP1,NM_001367459.1,16905
HAPLN1,XM_017009051.2,83051
HAPLN2,XM_017002020.2,24222
HAPLN3,NM_001307952.2,18251
HAPLN4,NM_023002.3,8049
HAPSTR1,NM_014117.3,29992
HAPSTR2,NM_001271560.3,1234
HAR1A,NR_003244.2,3095
HAR1B,NR_003245.1,6827
HARBI1,XM_011520028.4,15035
HARS1,NM_002109.6,17466
HARS2,NM_001363536.2,7851
HAS1,NM_001523.4,10880
HAS2,NM_005328.3,29325
HAS2-AS1,NR_002835.2,5980
HAS3,XM_047434047.1,34177
HASPIN,NM_031965.2,2797
HAT1,NM_003642.4,69652
HAUS1,NM_138443.4,23949
HAUS2,NM_001130447.2,21157
HAUS3,NM_001303143.2,13773
HAUS4,NM_001166269.2,10863
HAUS5,NM_015302.2,12621
HAUS5-DT,NR_186318.1,4276
HAUS6,NM_017645.5,49764
HAUS7,NM_001385483.1,47798
HAUS8,NM_001011699.1,25773
HAVCR1,XM_024446020.2,39995
HAVCR1P1,NR_003603.1,1255
HAVCR2,NM_032782.5,23213
HAX1,NM_001018837.2,3247
HBA1,NM_000558.5,843
HBA2,NM_000517.6,835
HBB,NM_000518.5,1608
HBBP1,NR_001589.1,1639
HBD,NM_000519.4,1646
HBE1,NM_005330.4,1601
HBEGF,NM_001945.3,13761
HBG1,NM_000559.3,1589
HBG2,NM_000184.3,1594
HBM,NM_001003938.4,787
HBP1,NM_001244262.2,33520
HBQ1,NM_005331.5,721
HBS1L,NM_001363686.2,94445
HBZ,NM_005332.3,1860
HCAR1,NM_032554.4,4769
HCAR2,NM_177551.4,2065
HCAR3,NM_006018.3,2056
HCCAT5,NR_027756.1,1426
HCCS,NM_001171991.3,11755
HCCS-DT,NR_186561.1,263596
HCFC1,XM_047442051.1,24262
HCFC1-AS1,NR_046608.3,1327
HCFC1R1,NM_001288667.1,1667
HCFC2,NM_013320.3,41994
HCG11,NR_026790.1,5688
HCG14,NR_104117.1,791
HCG15,NR_135289.2,3858
HCG17,NR_052012.1,92096
HCG18,NR_102327.1,39760
HCG20,NR_138037.1,25732
HCG21,NR_138040.1,8884
HCG22,NR_145427.2,6402
HCG23,NR_044996.1,3183
HCG24,NR_138084.1,5510
HCG25,NR_044997.1,5355
HCG26,NR_002812.3,1180
HCG27,NR_026791.1,6257
HCG4,NR_002139.2,2043
HCG4B,NR_001317.3,2624
HCG9,NR_028032.1,3292
HCK,NM_001172130.3,49615
HCLS1,NM_005335.6,29505
HCN1,NM_021072.4,441433
HCN2,NM_001194.4,27279
HCN3,XM_011509817.3,12386
HCN4,NM_005477.3,49100
HCP5,NR_040662.1,2630
HCP5B,NR_031762.2,1889
HCRT,NM_001524.1,1393
HCRTR1,XM_017001107.2,16024
HCRTR2,XM_017010798.2,178245
HCST,NM_014266.4,1849
HDAC1,NM_004964.3,41544
HDAC10,NM_032019.6,6083
HDAC11,NM_001330636.2,26111
HDAC11-AS1,NR_046690.1,3067
HDAC2,NM_001527.4,38121
HDAC2-AS2,NR_125845.1,371029
HDAC3,NM_003883.4,15969
HDAC4,NM_001378415.1,353482
HDAC4-AS1,NR_135575.1,922
HDAC5,XM_047435047.1,46889
HDAC6,XM_047441704.1,23585
HDAC7,XM_047428980.1,38623
HDAC8,NM_001410725.1,243328
HDAC9,NM_001321868.2,915592
HDAC9-AS1,XR_927081.3,16114
HDC,XM_017022094.2,23780
HDDC2,NM_016063.3,26618
HDDC3,NM_001286451.2,2582
HDGF,XM_047418832.1,25260
HDGFL1,NM_138574.4,2101
HDGFL2,XM_047439548.1,29911
HDGFL3,XM_006720554.5,95086
HDHD2,XM_011526228.4,43091
HDHD3,NM_001371923.1,3571
HDHD5,NM_017829.6,27768
HDHD5-AS1,NR_024482.1,6057
HDLBP,XM_047444070.1,88382
HDLBP-AS1,NR_168372.1,4776
HDX,XM_011530863.3,184576
HEAT2,NR_159949.1,4306
HEATR1,NM_018072.6,55512
HEATR3,NM_001329731.2,41303
HEATR3-AS1,NR_186390.1,22485
HEATR4,XM_047431370.1,155331
HEATR5A,NM_015473.4,128763
HEATR5A-DT,NR_110045.1,32126
HEATR5B,NM_019024.3,103478
HEATR6,NM_022070.5,37914
HEATR6-DT,NR_135648.1,9387
HEATR9,NM_152781.4,13937
HEBP1,NM_015987.5,25396
HEBP2,NM_001326380.2,18667
HECA,NM_016217.3,45723
HECTD1,NM_015382.4,107677
HECTD2,NM_001348365.2,105586
HECTD2-AS1,NR_024467.1,304499
HECTD3,NM_024602.6,8777
HECTD4,NM_001109662.4,222237
HECW1,XM_006715673.4,453355
HECW1-IT1,NR_135295.1,45292
HECW2,XM_006712646.4,399483
HECW2-AS1,NR_110225.1,4181
HEG1,NM_020733.2,90288
HEIH,NR_045680.1,1665
HELB,NM_033647.5,41151
HELLS,NM_001289068.2,56312
HELQ,NM_001297756.2,48478
HELT,NM_001300782.2,2464
HELZ,XM_011525544.2,175546
HELZ-AS1,NR_136398.1,17305
HELZ2,NM_001037335.2,16154
HEMGN,NM_018437.5,18062
HEMK1,XM_047448287.1,26987
HENMT1,NM_144584.3,13180
HEPACAM,NM_001411043.1,16843
HEPACAM2,XM_011516001.3,43752
HEPFAL,XR_007067903.1,4983
HEPH,XM_011531074.3,106193
HEPHL1,NM_001098672.2,92855
HEPN1,NM_001037558.4,1428
HERC1,XM_047433210.1,225331
HERC2,NM_004667.6,324900
HERC2P10,NR_072991.1,9748
HERC2P11,NR_145479.1,15461
HERC2P2,NR_002824.3,96802
HERC2P3,NR_036432.1,97785
HERC2P4,NR_109773.1,18071
HERC2P7,NR_036470.1,3223
HERC2P9,NR_036443.1,30823
HERC3,NM_001375482.1,184697
HERC4,XM_047424990.1,153379
HERC5,XM_011532022.3,49045
HERC6,NM_001165136.2,64246
HERPUD1,NM_001010989.3,12723
HERPUD2,XM_017012506.3,62477
HERPUD2-AS1,NR_136255.1,4208
HES1,NM_005524.4,2585
HES2,NM_019089.5,4688
HES3,NM_001024598.4,1400
HES4,NM_001142467.2,1134
HES5,XM_005244751.5,1519
HES6,NM_018645.6,1772
HES7,XM_047436941.1,6043
HESX1,XM_047449142.1,29778
HEXA,NM_001318825.2,35091
HEXA-AS1,NR_027262.1,2676
HEXB,NM_001292004.2,81266
HEXD,NM_001369488.1,24299
HEXD-IT1,NR_170223.1,1280
HEXIM1,NM_006460.3,3625
HEXIM2,NM_001303436.1,9867
HEXIM2-AS1,NR_186789.1,11877
HEY1,NM_001040708.2,3758
HEY2,NM_012259.3,11638
HEY2-AS1,NR_183490.1,171898
HEYL,NM_014571.4,16209
HFE,NM_139011.3,10915
HFE-AS1,NR_144383.1,4745
HFM1,XM_011540852.3,147242
HGC6.3,NR_171011.1,3876
HGD,NM_000187.4,54068
HGF,NM_000601.6,71038
HGFAC,XM_047450155.1,8482
HGH1,NM_016458.4,3078
HGS,NM_004712.5,18111
HGSNAT,NM_001363228.2,62392
HHAT,XM_054331653.1,352320
HHATL,XM_017006936.2,10136
HHATL-AS1,NR_146957.1,4225
HHEX,NM_002729.5,5693
HHIP,XM_006714288.5,99116
HHIP-AS1,NR_037595.1,3104
HHIPL1,XM_006720277.4,76032
HHIPL2,NM_024746.4,25841
HHLA1,NM_001145095.3,49678
HHLA2,XM_047447368.1,81738
HIBADH,NM_152740.4,137442
HIBCH,XM_047443905.1,130092
HIC1,NM_006497.4,8139
HIC2,XM_017028669.3,34093
HID1,NM_030630.3,22018
HID1-AS1,NR_110878.1,5040
HIF1A,NM_181054.3,52746
HIF1A-AS1,NR_047116.1,14783
HIF1A-AS2,NR_045406.1,2051
HIF1A-AS3,NR_144368.1,35540
HIF1AN,NM_017902.3,24056
HIF3A,XM_047439217.1,46392
HIGD1A,NM_001099668.2,21583
HIGD1B,XM_011524891.3,5617
HIGD1C,XM_017019783.3,41483
HIGD2A,NM_138820.4,1011
HIGD2AP2,XM_047449430.1,1215
HIGD2B,XM_024449838.2,10385
HIKESHI,XM_017017915.2,43704
HIKESHIP2,NR_170259.1,373
HILPDA,NM_001098786.2,2541
HINFP,NM_001351963.2,14480
HINT1,NM_005340.7,6230
HINT2,XM_024447703.1,2520
HINT3,NM_138571.5,23475
HIP1,NM_005338.7,205644
HIP1R,NM_003959.3,27505
HIPK1,XM_047449129.1,48546
HIPK1-AS1,NR_110726.1,5525
HIPK2,XM_047420262.1,216429
HIPK3,NM_001278163.2,100352
HIPK4,NM_144685.5,10911
HIRA,NM_003325.4,101036
HIRIP3,NM_001197323.1,3776
HISLA,NR_046094.1,62797
HIVEP1,XR_007059258.1,204356
HIVEP2,XM_047418711.1,194897
HIVEP2-DT,XR_001744397.3,16791
HIVEP3,NM_024503.5,412558
HJURP,NM_018410.5,17834
HJV,NM_001379352.1,4266
HK1,NM_033500.2,131883
HK2,XM_017003945.3,59233
HK2-DT,NR_185897.1,1333
HK3,NM_002115.3,18478
HKDC1,NM_025130.4,47221
HLA-A,NM_001242758.1,3430
HLA-B,XM_054330805.1,3784
HLA-C,NM_001243042.1,3388
HLA-DMA,NM_006120.4,4483
HLA-DMB,NM_002118.5,6393
HLA-DOA,NM_002119.4,5410
HLA-DOB,NM_002120.4,4240
HLA-DPA1,NM_001242524.2,16186
HLA-DPB1,NM_002121.6,13713
HLA-DPB2,NR_001435.2,16598
HLA-DQA1,XM_006715079.5,17867
HLA-DQA1-AS1,XR_007059544.1,6320
HLA-DQA2,NM_020056.5,5821
HLA-DQB1,NM_001243962.1,7601
HLA-DQB1-AS1,NR_133907.1,850
HLA-DQB2,NM_001300790.2,7438
HLA-DRA,NM_019111.5,5167
HLA-DRB1,NM_001359193.1,15570
HLA-DRB3,NM_022555.4,13139
HLA-DRB4,XM_054330817.1,14972
HLA-DRB5,NM_002125.4,12935
HLA-DRB6,NR_001298.1,7290
HLA-E,XM_054329806.1,4719
HLA-F,XM_054330302.1,18527
HLA-F-AS1,NR_026972.1,22451
HLA-G,NM_001384280.1,4562
HLA-H,NR_001434.4,3507
HLA-J,NR_024240.1,3986
HLA-L,NR_027822.1,7390
HLA-V,NR_132323.1,5902
HLCS,XM_024452065.2,241587
HLCS-AS1,NR_186434.1,8710
HLF,NM_002126.5,60228
HLMR1,NR_038455.1,15862
HLTF,NM_001318935.2,56471
HLTF-AS1,NR_046648.1,16492
HLX,NM_021958.4,5617
HLX-AS1,NR_046901.1,47378
HM13,NM_030789.4,55102
HM13-AS1,NR_046853.2,5677
HMBOX1,XM_047422223.1,163155
HMBS,NM_001258208.2,8669
HMCES,NM_001370345.1,27355
HMCN1,XM_011510038.4,456559
HMCN2,XM_011518467.3,168364
HMG20A,XM_011521158.4,99163
HMG20B,XM_017026144.2,6140
HMGA1,NM_001319081.2,9359
HMGA1P7,NR_037938.1,3719
HMGA2,NM_003483.6,141809
HMGA2-AS1,NR_158985.1,31099
HMGB1,NM_001370340.1,160884
HMGB2,NM_001130688.1,2983
HMGB3,NM_001301231.2,10265
HMGB3P1,NR_002165.1,888
HMGB4,NM_145205.6,4317
HMGCL,NM_000191.3,23545
HMGCLL1,XM_047418902.1,244547
HMGCR,XM_011543359.2,25588
HMGCS1,NM_001324220.2,25943
HMGCS2,NM_001166107.1,20937
HMGN1,NM_004965.7,6774
HMGN2,NM_005517.4,4203
HMGN2P46,NR_022014.1,45595
HMGN3,NM_001201362.2,33438
HMGN3-AS1,NR_040671.1,3127
HMGN4,NM_006353.3,8568
HMGN5,XM_047442510.1,88215
HMGXB3,NM_001366501.2,52390
HMGXB4,XM_047441067.1,54272
HMHB1,NM_021182.3,8556
HMMR,NM_001142557.2,31310
HMMR-AS1,NR_109892.1,11455
HMOX1,NM_002133.3,13112
HMOX2,NM_001127206.3,35612
HMSD,XM_017025710.2,20348
HMX1,NM_001306142.2,25764
HMX2,NM_005519.2,2537
HMX3,NM_001105574.2,3454
HNF1A,NM_001406915.1,23970
HNF1A-AS1,NR_024345.1,2455
HNF1B,NM_000458.4,58629
HNF4A,NM_001030003.3,78898
HNF4A-AS1,NR_172878.1,38919
HNF4G,XM_017013374.2,159186
HNMT,XM_011511064.3,51892
HNRNPA0,NM_006805.4,8713
HNRNPA1,NM_002136.4,6362
HNRNPA1L2,NM_001011725.3,26249
HNRNPA1L3,NM_001396241.1,1323
HNRNPA1P10,NR_002944.2,1354
HNRNPA1P33,NR_003277.2,564
HNRNPA2B1,NM_031243.3,10820
HNRNPA3,NM_001395170.1,11166
HNRNPA3P1,NR_002726.2,3006
HNRNPAB,NM_004499.4,6631
HNRNPC,XM_047431330.1,60296
HNRNPCL1,NM_001013631.3,1344
HNRNPCL2,NM_001136561.3,1367
HNRNPCL3,NM_001382358.1,2110
HNRNPCL4,NM_001302551.2,1718
HNRNPD,NM_031370.3,21494
HNRNPD-DT,NR_183813.1,9458
HNRNPDL,NM_031372.4,7894
HNRNPF,NM_004966.4,23569
HNRNPH1,NM_001364226.2,20607
HNRNPH2,NM_001032393.3,5912
HNRNPH3,NM_001322445.1,11504
HNRNPK,NM_002140.5,12533
HNRNPK-AS1,NR_186535.1,3686
HNRNPKP3,NR_033868.1,7866
HNRNPL,NM_001005335.2,15978
HNRNPLL,XM_005264639.5,40960
HNRNPM,NM_001297418.2,44140
HNRNPR,XM_047424699.1,39597
HNRNPU,NM_031844.3,14247
HNRNPUL1,XM_047438115.1,45231
HNRNPUL2,NM_001079559.3,14828
HNRNPUL2-BSCL2,NR_037946.1,37123
HOATZ,NM_001100388.2,22266
HOGA1,NM_001134670.2,28414
HOMER1,NM_004272.5,141499
HOMER2,XM_047433360.1,145076
HOMER3,XM_047439733.1,12015
HOMER3-AS1,NR_134913.1,6578
HOMEZ,NM_020834.3,13711
HOOK1,NM_015888.6,61374
HOOK2,NM_001400043.1,29348
HOOK3,NM_032410.4,133558
HOPX,XM_017008728.2,33709
HORMAD1,XM_047431808.1,22836
HORMAD2,XM_047441154.1,129725
HORMAD2-AS1,NR_110541.2,71512
HOTAIR,NR_186240.1,12643
HOTAIRM1,NR_038367.1,4165
HOTTIP,NR_037843.3,6839
HOXA-AS2,NR_122069.1,6842
HOXA-AS3,NR_038832.1,15565
HOXA1,NM_005522.5,3008
HOXA10,NR_037939.2,9257
HOXA10-AS,NR_046609.1,3017
HOXA10-HOXA9,NR_037940.1,17824
HOXA11,NM_005523.6,4076
HOXA11-AS,NR_002795.2,3886
HOXA13,NM_000522.5,5728
HOXA2,NM_006735.4,2330
HOXA3,NM_001384335.1,45574
HOXA4,NM_002141.5,2233
HOXA5,NM_019102.4,2630
HOXA6,NM_024014.4,2379
HOXA7,NM_006896.4,2960
HOXA9,NM_152739.4,3100
HOXB-AS1,NR_102279.1,6891
HOXB-AS2,NR_046610.1,5821
HOXB-AS3,NR_033201.2,15995
HOXB-AS4,NR_046611.1,6235
HOXB1,NM_002144.4,2486
HOXB13,NM_006361.6,3988
HOXB2,NM_002145.4,2455
HOXB3,XM_047435900.1,41372
HOXB4,NM_024015.5,2844
HOXB5,NM_002147.4,2523
HOXB6,XM_011524727.4,9236
HOXB7,NM_004502.4,3786
HOXB8,NM_024016.4,2947
HOXB9,NM_024017.5,5203
HOXBLINC,NR_183916.2,4608
HOXC-AS1,NR_047504.1,989
HOXC-AS2,NR_047505.1,1578
HOXC-AS3,NR_047506.1,1569
HOXC10,NM_017409.4,5134
HOXC11,NM_014212.4,4518
HOXC12,NM_173860.3,4054
HOXC13,NM_017410.3,7714
HOXC13-AS,NR_047507.1,4316
HOXC4,NM_014620.6,39143
HOXC5,NR_003084.3,18474
HOXC6,NM_153693.5,13936
HOXC8,NM_022658.4,3785
HOXC9,NM_006897.3,3177
HOXD-AS2,NR_038435.1,2258
HOXD1,NM_024501.3,2240
HOXD10,NM_002148.4,3160
HOXD11,XR_007073114.1,8400
HOXD12,NM_021193.4,2695
HOXD13,XM_011511068.3,8458
HOXD3,XM_047444092.1,20570
HOXD4,NM_014621.3,1677
HOXD8,NM_001199747.2,2991
HOXD9,NM_014213.4,2219
HP,NM_001126102.3,6551
HP09053,NR_110821.1,7234
HP1BP3,NM_001372052.1,47042
HPAT5,NR_157263.1,9213
HPCA,XM_005270792.4,8651
HPCAL1,NM_002149.4,124701
HPCAL4,NM_001282396.2,12786
HPD,NM_001171993.2,49085
HPDL,NM_032756.4,1816
HPF1,NM_017867.3,28475
HPGD,NM_001256301.1,32717
HPGDS,NM_014485.3,44302
HPN,NM_002151.5,26068
HPN-AS1,NR_024562.1,47246
HPR,NM_020995.4,14021
HPRT1,NM_000194.3,40504
HPS1,XR_001747098.2,32988
HPS1-AS1,NR_134454.1,7485
HPS3,NM_001308258.2,44095
HPS4,XM_047441580.1,40755
HPS5,XM_054332507.1,43606
HPS6,NM_024747.6,2688
HPSE,NM_006665.6,42693
HPSE2,XM_047425614.1,858875
HPX,NM_000613.3,9939
HPYR1,NR_026684.1,982
HR,NM_018411.4,16634
HRAS,NM_176795.5,3335
HRAT17,NR_110162.1,41009
HRC,NM_002152.3,4199
HRCT1,NM_001039792.2,935
HRG,NM_000412.5,12221
HRG-AS1,NR_187317.1,24126
HRH1,NM_001098213.2,126320
HRH2,NM_001367711.1,52686
HRH3,NM_007232.3,5319
HRH4,NM_001143828.2,19338
HRK,NM_003806.4,25298
HRNR,NM_001009931.3,12118
HROB,XM_047436693.1,20547
HRURF,NM_001394132.1,553
HS1BP3,XM_017004698.2,97238
HS1BP3-IT1,NR_046836.1,1774
HS2ST1,NM_012262.4,195348
HS3ST1,XM_011513913.4,41178
HS3ST2,NM_006043.2,102177
HS3ST3A1,NM_006042.3,107898
HS3ST3B1,NM_006041.3,48324
HS3ST4,NM_006040.3,445727
HS3ST5,NM_001387047.1,287428
HS3ST6,XM_011522608.3,9466
HS6ST1,NM_004807.3,53389
HS6ST2,NM_001077188.2,335356
HS6ST2-AS1,NR_046691.1,2247
HS6ST3,NM_153456.4,749456
HSALR1,NR_103774.1,10246
