gene_id,transcript_id,length
FTHL17,NM_031894.3,809
FTHL18P,NR_171164.1,918
FTL,NM_000146.4,1571
FTLP10,NR_015446.2,30179
FTMT,NM_177478.2,952
FTO,NM_001080432.3,417786
FTO-IT1,NR_103838.1,981
FTSJ1,NM_001282157.1,10344
FTSJ3,NM_017647.4,8231
FTX,NR_028379.1,265439
FUBP1,XR_007064840.1,35447
FUBP3,NM_003934.2,58776
FUCA1,NR_174381.1,23214
FUCA2,NM_032020.5,16909
FUNDC1,NM_173794.4,19221
FUNDC2,NM_023934.4,33461
FUNDC2P2,NR_003663.1,1519
FUOM,XM_011539675.3,5247
FURIN,NM_002569.4,14870
FUS,NR_028388.2,14762
FUT1,NM_000148.4,7348
FUT10,XM_011544677.4,165086
FUT11,XM_006717656.5,7979
FUT2,NM_000511.6,9981
FUT3,NM_001382749.2,14235
FUT3_1,NM_001382749.2_1,14240
FUT4,NM_002033.4,5975
FUT5,NM_002034.2,4715
FUT5_1,NM_002034.2_1,4699
FUT6,NM_000150.4,9295
FUT6_1,NM_000150.4_1,9271
FUT7,NM_004479.4,1915
FUT8,XM_047431179.1,387280
FUT8-AS1,NR_024334.1,2026
FUT9,XM_047418089.1,199639
FUZ,XM_011527341.3,6688
FXN,NM_181425.3,43325
FXR1,NM_001013439.3,70084
FXR2,NM_004860.4,23668
FXYD1,XM_017026874.3,5922
FXYD2,NM_021603.4,8033
FXYD3,NM_001387355.1,8502
FXYD4,NM_173160.3,4700
FXYD5,NR_028406.2,15147
FXYD6,NM_001164831.3,40450
FXYD6-AS1,NR_186291.1,4602
FXYD6-FXYD2,NM_001243598.4,56602
FXYD7,NM_022006.2,11048
FYB1,XM_006714464.4,169277
FYB2,XM_047448402.1,108126
FYCO1,NR_170107.1,77922
FYN,XM_047418569.1,213121
FYTTD1,NM_001011537.3,38064
FZD1,NM_003505.2,6894
FZD10,NM_007197.4,3277
FZD10-AS1,NR_033834.1,10086
FZD2,NM_001466.4,3779
FZD3,NR_182067.1,80047
FZD4,NM_012193.4,9717
FZD4-DT,NR_038905.1,45330
FZD5,NM_003468.4,7309
FZD6,NM_001164615.2,34373
FZD7,NM_003507.2,4587
FZD8,NM_031866.3,4050
FZD9,NM_003508.3,2343
FZR1,XM_005259573.6,32024
G0S2,NM_015714.4,979
G2E3,NM_017769.5,60907
G2E3-AS1,NR_151720.1,139366
G3BP1,NM_005754.3,40832
G3BP2,NM_001400017.1,81652
G6PC1,NM_000151.4,13640
G6PC2,NM_021176.3,8710
G6PC2_1,NM_021176.3_1,8710
G6PC3,NM_001384168.1,5672
G6PD,NM_001042351.3,16179
GAA,XM_047435719.1,18301
GAA_1,NM_000152.5_1,18301
GAB1,NM_207123.3,137690
GAB2,NM_080491.3,202528
GAB3,NR_104114.2,76318
GAB4,NR_159481.1,46287
GABARAP,NM_007278.2,2442
GABARAPL1,NM_031412.4,10252
GABARAPL1-AS1,NR_170310.1,1419
GABARAPL2,NM_007285.7,11503
GABARAPL3,NR_028287.1,2921
GABBR1,NM_021904.4,30946
GABBR1_1,NM_021904.4_1,30938
GABBR1_2,NM_021904.4_2,30947
GABBR1_3,NM_021904.4_3,30947
GABBR1_4,XM_054330538.1,30914
GABBR1_5,NM_021904.4_5,30944
GABBR1_6,NM_021904.4_6,30947
GABBR1_7,NM_001470.4_7,279
GABBR2,NM_005458.8,420827
GABPA,XM_017028313.3,37489
GABPB1,XM_011521426.4,79810
GABPB1-AS1,NR_024490.1,4139
GABPB1-IT1,NR_026891.1,5944
GABPB2,NM_001323912.2,54782
GABRA1,NM_000806.5,52769
GABRA2,NM_001377154.1,146753
GABRA3,XM_006724811.4,285082
GABRA4,NM_001204267.2,74682
GABRA5,NM_001165037.2,82490
GABRA6,NM_000811.3,16872
GABRA6-AS1,NR_189170.1,2069
GABRB1,XM_024453977.2,432801
GABRB2,NM_000813.3,259969
GABRB3,NM_021912.5,230212
GABRD,NM_000815.5,11414
GABRE,NM_004961.4,21553
GABRG1,NM_173536.4,88286
GABRG2,NM_001375349.1,88062
GABRG3,NM_033223.5,570804
GABRG3-AS1,NR_120343.1,3585
GABRP,XM_024446012.2,31328
GABRQ,XM_011531184.4,21071
GABRQ_1,XM_054333346.1,29324
GABRR1,NM_001267582.2,53785
GABRR2,XM_047418599.1,60836
GABRR3,NM_001105580.3,50214
GACAT1,NR_126370.1,68018
GACAT2,NR_120598.1,11766
GACAT3,NR_126559.1,35263
GAD1,XM_011510922.1,47942
GAD2,NM_000818.3,88187
GADD45A,NM_001924.4,3134
GADD45B,NM_015675.4,2131
GADD45G,NM_006705.4,1544
GADD45GIP1,NM_052850.4,4105
GADL1,NM_207359.3,168465
GAGE1,NR_102272.2,9526
GAGE10,NM_001098413.4,16196
GAGE12B,NM_001127345.3,188819
GAGE12C,NM_001098408.3,7362
GAGE12D,NM_001127199.3,7362
GAGE12E,NM_001098418.3,7357
GAGE12F,NM_001098405.3,7364
GAGE12G,NM_001354422.1,7361
GAGE12H,NM_001098410.3,7353
GAGE12J,NM_001098406.4,7348
GAGE13,NM_001098412.4,7368
GAGE2A,NM_001127212.4,7329
GAK,XM_047450032.1,83040
GAL,NM_015973.5,6632
GAL3ST1,NM_001318103.2,20031
GAL3ST2,NM_022134.3,27466
GAL3ST2_1,NM_022134.3_1,5231
GAL3ST3,NM_033036.3,8397
GAL3ST4,NM_024637.5,9374
GALC,NM_001424076.1,60654
GALE,NM_001008216.2,5156
GALK1,NM_001381985.1,13724
GALK2,XM_047432347.1,197725
GALM,NM_138801.3,68652
GALNS,NM_001323543.2,43214
GALNT1,XM_047437466.1,130913
GALNT10,NM_198321.4,230252
GALNT11,NR_163956.1,96667
GALNT12,NM_024642.5,42412
GALNT13,NM_001422882.1,1388282
GALNT13-AS1,NR_161181.1,21586
GALNT14,XR_007081588.1,251659
GALNT15,XM_005264852.6,73545
GALNT16,XR_007064036.1,126180
GALNT16-AS1,NR_184249.1,77510
GALNT17,NM_022479.3,581456
GALNT18,NM_001363464.2,351129
GALNT2,NM_001291866.2,224334
GALNT3,XM_011510929.2,47105
GALNT4,NM_003774.5,5385
GALNT5,NM_001329868.2,60787
GALNT6,XM_006719214.3,40422
GALNT7,XM_047415780.1,155157
GALNT7-DT,NR_134242.1,37720
GALNT8,NM_017417.2,52327
GALNT9,NM_001122636.2,133218
GALNT9-AS1,NR_024563.1,5510
GALNT9-AS1_1,NR_024563.1_1,5510
GALNT9_1,NM_001122636.2_1,132549
GALNTL5,NR_033169.2,63484
GALNTL6,NM_001034845.3,1228156
GALNTL6-AS1,NR_125894.1,92195
GALP,NM_033106.4,9768
GALR1,NM_001480.4,28053
GALR2,XM_047436984.1,5576
GALR3,NM_003614.2,2104
GALT,NM_000155.4,4361
GAMT,NM_000156.6,4517
GAN,NM_022041.4,75848
GANAB,NM_001278193.2,21785
GANC,NM_198141.3,80466
GAP43,NM_001130064.2,97974
GAPDH,NR_152150.2,3855
GAPDH-DT,XR_002957397.2,2492
GAPDHS,NM_014364.5,11864
GAPLINC,NR_110429.1,12729
GAPT,NM_001304429.2,5656
GAPVD1,NR_148732.2,105382
GAR1,NM_032993.2,9228
GAR1-DT,NR_186620.1,2464
GAREM1,NM_022751.3,207361
GAREM2,XM_011532567.4,31217
GARIN1A,XR_007060024.1,36875
GARIN1B,NR_104243.2,22681
GARIN2,XM_047431033.1,39119
GARIN3,NM_130899.3,4419
GARIN4,NM_153606.4,2302
GARIN5A,NM_138411.3,10061
GARIN5B,NM_001145402.2,8353
GARIN6,NM_153364.4,2362
GARNL3,XM_047423963.1,169048
GARRE1,NM_014686.5,101013
GARRE1_1,NM_014686.5_1,4057
GARRE1_2,NM_014686.5_2,46397
GARRE1_3,NM_014686.5_3,4057
GARS1,NM_001316772.1,39299
GARS1-DT,NR_038889.1,29423
GART,XM_047440743.1,38963
GART_1,NM_001136005.1_1,7528
GAS1,NM_002048.3,3145
GAS1RR,NR_049794.1,53336
GAS2,XM_047426745.1,187054
GAS2L1,NM_001362985.3,6138
GAS2L1P1,XR_007061488.1,3770
GAS2L1P2,NR_002942.1,6275
GAS2L2,NM_139285.4,8729
GAS2L3,XM_047428730.1,54605
GAS5,NR_186289.1,5145
GAS5-AS1,NR_037605.1,694
GAS6,NM_000820.4,43528
GAS6-AS1,NR_044995.2,27232
GAS6-DT,NR_044993.1,2656
GAS7,NM_201433.2,288001
GAS8,NM_001286209.2,25328
GAS8-AS1,NR_122031.1,994
GASAL1,NR_149020.2,4193
GASK1A,NM_001129908.3,78405
GASK1B,XM_024454079.2,48552
GASK1B-AS1,NR_147407.1,32126
GAST,NM_000805.5,3639
GATA1,NM_002049.4,7722
GATA2,NM_032638.5,13775
GATA2-AS1,NR_125398.1,14005
GATA3,XM_005252443.6,29866
GATA3-AS1,NR_024256.1,3035
GATA4,NM_001308094.2,83068
GATA4_1,NM_001308094.2_1,83054
GATA5,NM_080473.5,12499
GATA6,NM_005257.6,32940
GATA6-AS1,NR_102763.1,2071
GATAD1,XR_927494.4,48288
GATAD2A,NR_169268.1,123090
GATAD2B,NM_020699.4,118248
GATAD2B_1,NM_020699.4_1,23626
GATB,NM_001363341.2,90504
GATC,NR_033684.2,17306
GATD1,NR_134867.2,10266
GATD1-DT,NR_126342.1,6720
GATD3,NR_135220.2,12029
GATM,XM_047432387.1,41104
GAU1,NR_110112.1,19686
GBA1,NM_001171811.2,10176
GBA1LP,NR_002188.3,13710
GBA1LP_1,NR_002188.3_1,13706
GBA1_1,NM_001171811.2_1,10176
GBA2,XM_017014940.3,12363
GBA3,NR_102355.2,126633
GBA3_1,NM_020973.5,126633
GBE1,NM_000158.4,271943
GBF1,NM_001391924.1,152254
GBGT1,NM_001282632.2,10967
GBP1,NM_002053.3,12890
GBP1P1,NR_003133.2,17256
GBP2,NM_004120.5,19983
GBP3,NR_135007.2,16187
GBP4,NM_052941.5,17799
GBP5,NM_001134486.4,16672
GBP6,NM_198460.3,24102
GBP7,NM_207398.3,44262
GBX1,NM_001098834.3,19686
GBX2,XM_047443907.1,7047
GBX2-AS1,NR_186035.1,46784
GC,NM_001204306.1,63828
GCA,XM_006712398.5,52843
GCAT,NM_001171690.2,9250
GCAWKR,NR_160703.1,27127
GCC1,NM_024523.6,4969
GCC2,XM_006712870.4,60210
GCC2-AS1,NR_135290.1,26693
GCDH,NR_102317.1,8871
GCFC2,XM_047445615.1,50418
GCG,NM_002054.5,9366
GCGR,NM_000160.5,9859
GCGR_1,NM_000160.5_1,9859
GCH1,NM_001424104.1,60810
GCHFR,NM_005258.3,3641
GCK,NM_001354800.1,46227
GCKR,NM_001486.4,26846
GCLC,NM_001197115.2,47761
GCLC-AS1,NR_183318.1,75418
GCLM,NM_001308253.2,24232
GCM1,NM_003643.4,21881
GCM2,NM_004752.4,8819
GCN1,NM_006836.2,67514
GCNA,NM_052957.5,35147
GCNT1,NM_001407181.1,113548
GCNT2,XM_006715052.4,108018
GCNT2_1,NM_145649.5_1,108018
GCNT3,NM_004751.3,10941
GCNT4,XR_007058605.1,37092
GCNT7,NR_160308.1,34434
GCOM1,NR_104367.2,125654
GCSAM,NM_001190260.2,12410
GCSAML,NM_001281853.1,70633
GCSAML-AS1,NR_027309.2,6126
GCSAM_1,NM_001190260.2_1,12410
GCSH,NR_033249.2,14451
GCSHP3,NR_033248.1,1000
GCSHP3_1,NR_033248.1_1,1000
GCSH_1,NR_033249.2_1,14451
GCSIR,NR_038238.1,17972
GDA,XM_017015338.2,137617
GDAP1,NM_001362931.2,138470
GDAP1L1,NM_001256738.2,33849
GDAP2,NM_017686.4,66137
GDE1,NR_136689.2,20406
GDF1,NM_001387438.1,27614
GDF10,NM_004962.5,13381
GDF11,NM_005811.5,14143
GDF15,NM_004864.4,3019
GDF2,NM_016204.4,5135
GDF3,NM_020634.3,5992
GDF5,NM_001319138.2,21403
GDF5-AS1,NR_161326.1,1623
GDF6,NM_001001557.4,18474
GDF7,NM_182828.4,12100
GDF9,NM_001288824.4,5467
GDI1,NM_001493.3,6314
GDI2,NM_001115156.2,48212
GDNF,XM_017009337.3,27365
GDNF-AS1,NR_145476.1,35916
GDPD1,NM_182569.4,55460
GDPD2,NM_001171192.2,10068
GDPD3,NM_024307.3,8728
GDPD4,XM_011544834.1,85142
GDPD5,XM_047427654.1,91302
GDPGP1,NM_001322811.2,11603
GEM,NM_181702.3,13067
GEMIN2,NM_003616.3,22651
GEMIN4,XM_047436180.1,9990
GEMIN5,NM_001252156.2,50801
GEMIN6,NM_024775.10,6793
GEMIN7,NM_001319055.2,15892
GEMIN7-AS1,NR_134887.1,5063
GEMIN8,XR_950464.4,45708
GEMIN8P4,NR_002830.1,1702
GEN1,XM_011532822.3,35669
GET1,NR_146615.2,48203
GET1-SH3BGR,NR_146618.2,135179
GET3,NM_001371489.1,11218
GET4,NM_015949.3,19883
GFAP,NM_002055.5,12342
GFER,NM_005262.3,3557
GFER_1,NM_005262.3_1,3557
GFI1,NM_005263.5,13883
GFI1B,NM_004188.8,46157
GFM1,NM_001308164.2,51055
GFM2,NR_104006.2,45912
GFOD1,NM_018988.4,129771
GFOD1-AS1,NR_046709.1,511
GFOD2,NR_027398.2,44781
GFOD3P,NR_033709.1,11390
GFPT1,NM_002056.4,67448
GFPT2,NM_005110.4,52639
GFRA1,NM_001382557.2,217781
GFRA2,XM_047421687.1,121948
GFRA3,NM_001496.4,22242
GFRA4,NM_022139.4,4152
GFRAL,NM_207410.2,75025
GFUS,NM_001413408.1,5431
GFUS_1,NM_001413408.1_1,5431
GFY,NM_001385187.1,5241
GGA1,NM_001363771.2,24731
GGA2,XM_047433801.1,60818
GGA3,NM_001172704.3,25765
GGACT,NM_001195087.2,58610
GGCT,NR_037669.2,8209
GGCX,XM_017003803.3,16774
GGH,NM_003878.3,23728
GGN,XM_011526603.3,4118
GGNBP1,NR_028361.1,5328
GGNBP2,XM_005257689.4,44930
GGNBP2_1,XM_054329335.1,45521
GGPS1,NM_001371477.1,17317
GGT1,NM_013430.3,45247
GGT2P,NR_172944.1,51709
GGT3P,NR_003267.1,18273
GGT5,NM_001302465.1,25489
GGT6,XM_047435338.1,4438
GGT7,XR_001754240.2,28137
GGT8P,NR_003503.1,6786
GGTA1,NR_168461.1,54855
GGTLC1,XM_011529393.3,3727
GGTLC2,NM_001391910.1,3285
GGTLC3,XM_024452264.2,1829
GH1,NM_022560.4,1637
GH2,NM_022556.4,1730
GHDC,NM_032484.5,5408
GHET1,NR_130107.1,1903
GHITM,NM_014394.3,14060
GHR,NM_000163.5,298440
GHRH,NM_001184731.3,10729
GHRHR,NM_000823.4,15576
GHRH_1,NM_001184731.3_1,10729
GHRL,NR_126505.2,7282
GHRLOS,NR_024145.2,12498
GHSR,NM_198407.2,5166
GID4,NM_024052.5,28998
GID8,XM_047440247.1,10329
GIGYF1,NR_164719.1,14744
GIGYF2,NM_001103146.3,163275
GIHCG,NR_038269.1,4716
GIHCG_1,NR_038269.1_1,719
GIMAP1,NM_130759.4,7672
GIMAP1-GIMAP5,NM_001199577.2,27034
GIMAP2,NM_015660.3,7936
GIMAP4,NM_001363532.2,6564
GIMAP5,NM_018384.5,6229
GIMAP6,NM_001244071.2,7011
GIMAP7,NM_153236.4,6202
GIMAP8,NM_175571.4,28764
GIMD1,NM_001195138.2,11387
GIN1,NR_134299.2,34139
GINM1,NM_138785.5,25374
GINS1,NR_134574.2,40891
GINS2,NM_016095.3,12757
GINS3,NM_001126129.2,13677
GINS4,NM_032336.3,15770
GIP,NM_004123.3,10043
GIPC1,NM_202494.3,18366
GIPC2,NM_001304725.2,93475
GIPC3,NM_001411144.1,8064
GIPR,XM_047438600.1,15502
GIRGL,NR_134567.1,4124
GIT1,NM_014030.4,16174
GIT2,XM_047429924.1,70361
GJA1,NM_000165.5,14082
GJA10,NM_032602.2,1652
GJA10_1,NM_032602.2_1,1652
GJA3,XM_011535048.3,23311
GJA4,XM_017001043.3,2749
GJA5,NM_005266.7,17153
GJA8,XM_011509417.3,7331
GJA9,NM_030772.5,7519
GJA9-MYCBP,NR_037637.1,19137
GJB1,NM_001097642.3,10278
GJB2,NM_004004.6,5469
GJB3,NM_024009.3,5151
GJB4,NM_153212.3,2588
GJB5,NM_005268.4,3466
GJB6,NM_001110221.3,10358
GJB7,NM_198568.3,46299
GJC1,XR_934346.4,36731
GJC2,NM_020435.4,9897
GJC3,XM_047420329.1,7482
GJD2,XM_017022438.2,3967
GJD2-DT,NR_120329.1,57840
GJD3,NM_152219.4,4086
GJD3-AS1,NR_186704.1,2591
GJD4,NM_153368.3,3595
GJE1,NM_001358410.2,2434
GK,NR_174369.1,78040
GK-AS1,NR_046603.1,18036
GK2,NM_033214.3,1868
GK3,NM_001395953.1,1898
GK5,NR_033289.2,68059
GKAP1,NM_001135953.2,78345
GKN1,NM_019617.4,6341
GKN2,NM_182536.3,7662
GLA,NR_176252.1,10123
GLB1,NM_001393580.1,136039
GLB1L,XM_017004895.2,8847
GLB1L2,XR_007062523.1,44337
GLB1L3,XR_002957120.2,49538
GLCCI1,NM_138426.4,120285
GLCCI1-DT,NR_110018.1,18914
GLCE,NM_001324093.2,111573
GLDC,NM_000170.3,113263
GLDN,XM_017022125.1,71711
GLE1,XM_006717060.4,37597
GLG1,NR_027265.2,159675
GLI1,NM_005269.3,12484
GLI2,NM_001371271.1,256786
GLI3,XM_047420208.1,303320
GLI4,NM_138465.4,9487
GLIDR,NR_126046.1,6664
GLIPR1,NM_006851.3,23109
GLIPR1-AS1,XR_007063373.1,6368
GLIPR1L1,NM_001304964.2,35891
GLIPR1L2,NR_072995.2,41600
GLIPR2,NR_104641.1,27378
GLIS1,XM_017000409.2,232926
GLIS2,NM_001318918.2,24835
GLIS2-AS1,NR_110901.1,3693
GLIS2-AS1_1,NR_110901.1_1,3693
GLIS2_1,NM_001318918.2_1,24835
GLIS3,XM_047422890.1,666339
GLIS3-AS1,NR_026663.1,2603
GLIS3-AS2,NR_186824.1,10594
GLMN,XM_011540546.3,124443
GLMP,XR_426762.4,2992
GLO1,NM_006708.3,27221
GLOD4,XM_047436196.1,26566
GLOD5,NM_001080489.3,11902
GLP1R,NR_136563.2,42523
GLP2R,XM_011524077.4,66176
GLRA1,NM_001292000.2,102339
GLRA2,XM_047441999.1,283034
GLRA3,XM_047416196.1,192328
GLRA4,NR_164162.1,23002
GLRB,NM_000824.5,95941
GLRX,NM_001118890.2,8878
GLRX2,NM_016066.4,9650
GLRX3,NM_001199868.2,43987
GLRX5,NM_016417.3,9665
GLS,NM_014905.5,84732
GLS2,NM_001280798.2,17210
GLT1D1,NR_159493.1,131491
GLT6D1,XM_011518637.3,17569
GLT8D1,XM_047448569.1,11306
GLT8D2,NM_001384713.1,75451
GLTP,NM_016433.4,29597
GLTPD2,NM_001375801.1,1626
GLUD1,NM_005271.5,44642
GLUD1P2,NR_111968.1,27748
GLUD1P3,NR_048575.2,1210
GLUD2,NM_012084.4,2485
GLUD2_1,NM_012084.4_1,2485
GLUL,NM_001033044.4,13693
GLYAT,NM_201648.3,23187
GLYATL1,NM_001354699.4,50926
GLYATL1B,NM_001355566.1,8480
GLYATL2,XM_017017338.3,75764
GLYATL3,NM_001010904.2,28156
GLYCAM1,NR_003039.3,2276
GLYCTK,NR_026699.2,7430
GLYCTK-AS1,NR_046719.1,1154
GLYR1,NR_136698.2,44086
GM2A,NM_000405.5,17256
GMCL1,NM_178439.5,51725
GMCL2,NM_001358008.2,2867
GMDS,NM_001500.4,621800
GMDS-DT,NR_046229.1,167839
GMEB1,XM_047438136.1,51125
GMEB2,NM_012384.5,39497
GMFB,NM_004124.3,14496
GMFG,NM_001301008.2,7685
GMFG_1,NM_001301008.2_1,7685
GMIP,NM_001288998.2,14182
GML,NM_002066.3,12051
GMNC,XR_924161.3,19424
GMNN,XM_005249159.3,11163
GMPPA,XM_047444026.1,8099
GMPPB,NM_021971.4,4036
GMPR,NM_006877.4,56963
GMPR2,NR_104265.2,6621
GMPR2_1,NR_104265.2_1,6621
GMPS,XM_011513263.3,74591
GNA11,NM_002067.5,29638
GNA12,NM_001293092.2,116204
GNA13,NM_006572.6,47452
GNA14,NM_004297.4,225244
GNA14-AS1,NR_121184.1,79114
GNA15,NM_002068.4,27717
GNA15-DT,NR_110670.1,13600
GNAI1,NM_002069.6,91351
GNAI2,XM_047447979.1,32295
GNAI3,NM_006496.4,51581
GNAL,NM_182978.4,196422
GNAO1,NM_020988.3,165956
GNAO1-AS1,NR_026889.1,1909
GNAO1-DT,NR_027078.2,98108
GNAQ,NM_002072.5,315715
GNAS,NM_016592.5,71445
GNAS-AS1,NR_185849.1,31985
GNAT1,NM_144499.3,6087
GNAT2,NM_001379232.1,16526
GNAT3,NM_001102386.3,53430
GNAZ,NM_002073.4,54514
GNB1,XM_047418078.1,105802
GNB1-DT,NR_168264.1,1547
GNB1L,NM_053004.3,71652
GNB2,NM_005273.4,5430
GNB3,XM_047428702.1,6469
GNB4,XM_047448654.1,131711
GNB5,NM_016194.4,76293
GNE,NM_001190388.2,62538
GNG10,NM_001017998.4,8622
GNG11,NM_004126.4,6876
GNG12,NM_018841.6,131993
GNG12-AS1,NR_040077.1,370700
GNG13,NM_016541.3,2694
GNG14,NM_001316692.2,425
GNG2,NM_001389707.1,143622
GNG3,XM_047426794.1,2756
GNG4,NM_004485.4,102924
GNG4_1,NM_001098722.2_1,4559
GNG5,NM_005274.3,8257
GNG5B,NM_001396022.1,520
GNG7,NM_052847.3,191476
GNG8,XM_017027505.1,5374
GNGT1,NM_021955.5,4699
GNGT2,NM_001198754.2,4338
GNL1,NM_005275.5,15109
GNL1_1,NM_005275.5_1,12178
GNL1_2,NM_005275.5_2,15110
GNL1_3,NM_005275.5_3,15110
GNL1_4,NM_005275.5_4,15109
GNL1_5,NM_005275.5_5,15109
GNL1_6,NM_005275.5_6,15110
GNL1_7,NM_005275.5_7,15108
GNL2,NM_001323624.2,29122
GNL3,NM_206826.1,8578
GNL3L,XR_007068190.1,115636
GNLY,NM_012483.4,4495
GNMT,NR_134899.2,3127
GNPAT,NM_014236.4,36762
GNPDA1,NM_005471.5,12357
GNPDA2,NR_073095.2,24762
GNPNAT1,NM_198066.4,16415
GNPTAB,NM_024312.5,85461
GNPTG,NM_032520.5,12183
GNRH1,NM_000825.3,5783
GNRH2,NM_001501.2,2126
GNRHR,NM_000406.3,17271
GNRHR2,NR_002328.4,6329
GNS,NM_002076.4,45958
GOLGA1,XM_047423242.1,69769
GOLGA2,NM_001389705.2,20179
GOLGA2P10,NR_103496.2,42523
GOLGA2P10_1,NR_103496.2_1,42779
GOLGA2P11,NR_169521.2,15983
GOLGA2P2Y,NR_001555.2,4865
GOLGA2P3Y,NR_002195.2,4865
GOLGA2P5,NR_036632.1,16953
GOLGA2P6,NR_120609.1,7581
GOLGA2P7,NR_027001.1,31321
GOLGA2P7_1,NR_027001.1_1,31320
GOLGA2P9,NR_033899.1,7294
GOLGA3,NM_001389684.1,60168
GOLGA4,XM_047447981.1,123609
GOLGA4-AS1,NR_149029.1,2405
GOLGA5,XM_047432021.1,45643
GOLGA6A,NM_001038640.2,12694
GOLGA6B,NM_018652.5,14903
GOLGA6C,NM_001164404.2,15122
GOLGA6D,XM_047432965.1,19404
GOLGA6EP,XR_932489.3,14168
GOLGA6FP,NR_027024.1,12630
GOLGA6L1,NM_001001413.3,9757
GOLGA6L10,NM_001164465.3,9483
GOLGA6L10_1,NM_001322400.1,6776
GOLGA6L17P,NR_111962.1,6895
GOLGA6L17P_1,NR_111962.1_1,6694
GOLGA6L1_1,NM_001001413.3_1,9740
GOLGA6L1_2,NM_001001413.3_2,9757
GOLGA6L1_3,NM_001001413.3_3,9757
GOLGA6L2,XM_047432396.1,8206
GOLGA6L22,NM_001396956.1,10324
GOLGA6L22_1,XM_047443235.1,8507
GOLGA6L24,NM_001394758.1,10234
GOLGA6L24_1,NM_001394758.1_1,10220
GOLGA6L24_2,NM_001394758.1_2,10220
GOLGA6L24_3,NM_001394758.1_3,10220
GOLGA6L25,NM_001365373.2,10212
GOLGA6L25_1,NM_001365373.2_1,10212
GOLGA6L25_2,NM_001365373.2_2,10212
GOLGA6L25_3,NM_001365373.2_3,10212
GOLGA6L26,NM_001382446.2,9662
GOLGA6L26_1,NM_001382446.2_1,9709
GOLGA6L2_1,NM_001304388.2_1,8981
GOLGA6L3P,NR_171665.1,6837
GOLGA6L3P_1,NR_171665.1_1,7000
GOLGA6L4,NM_001267536.3,9586
GOLGA6L4_1,NM_001267536.3_1,9664
GOLGA6L4_2,NM_001267536.3_2,9515
GOLGA6L5P,NR_003246.4,10680
GOLGA6L5P_1,NR_003246.4_1,10680
GOLGA6L6,NM_001145004.2,9945
GOLGA6L6_1,NM_001145004.2_1,9944
GOLGA6L7,NM_001365371.2,6813
GOLGA6L7_1,NM_001365371.2_1,6795
GOLGA6L9,XM_047432539.1,23231
GOLGA6L9_1,NM_198181.4_1,9333
GOLGA7,NM_001362979.1,20585
GOLGA7B,NM_001010917.3,21736
GOLGA7B-DT,NR_108035.1,21321
GOLGA8A,NR_164784.1,58741
GOLGA8A_1,NR_164784.1_1,58730
GOLGA8B,NR_027410.2,58557
GOLGA8CP,NR_027411.2,13355
GOLGA8CP_1,NR_027411.2_1,13355
GOLGA8DP,NR_027407.1,13444
GOLGA8DP_1,NR_027407.1_1,13443
GOLGA8DP_2,NR_027407.1_2,13444
GOLGA8DP_3,NR_027407.1_3,13444
GOLGA8EP,NR_033350.1,13354
GOLGA8EP_1,NR_033350.1_1,13353
GOLGA8EP_2,NR_033350.1_2,13355
GOLGA8F,NR_033351.2,13384
GOLGA8F_1,XM_054331731.1,13386
GOLGA8F_2,XM_054329571.1,13386
GOLGA8F_3,XM_054329994.1,13386
GOLGA8G,XM_024449906.2,13387
GOLGA8G_1,XM_054331760.1,13387
GOLGA8G_2,XM_054329576.1,13387
GOLGA8G_3,XM_054330023.1,13387
GOLGA8H,NM_001282490.2,13725
GOLGA8H_1,NM_001282490.2_1,13723
GOLGA8H_2,NM_001282490.2_2,11220
GOLGA8H_3,NM_001282490.2_3,13723
GOLGA8IP,NR_024074.2,7502
GOLGA8IP_1,NR_024074.2_1,7516
GOLGA8IP_2,NR_024074.2_2,7498
GOLGA8J,NM_001282472.2,13736
GOLGA8J_1,NM_001282472.2_1,13736
GOLGA8J_2,NM_001282472.2_2,13724
GOLGA8J_3,NM_001282472.2_3,13736
GOLGA8K,NM_001282493.2,13694
GOLGA8K_1,NM_001282493.2_1,13708
GOLGA8M,XM_005268285.6,14751
GOLGA8M_1,XM_054331816.1,19930
GOLGA8M_2,XM_054330039.1,14751
GOLGA8N,NM_001282494.2,13782
GOLGA8N_1,NM_001282494.2_1,13778
GOLGA8N_2,NM_001282494.2_2,13800
GOLGA8N_3,NM_001282494.2_3,13778
GOLGA8O,XM_024450042.2,20071
GOLGA8O_1,XM_054331873.1,19829
GOLGA8Q,NM_001355476.2,13635
GOLGA8Q_1,NM_001355476.2_1,13634
GOLGA8Q_2,NM_001355476.2_2,13634
GOLGA8R,NM_001282484.1,13699
GOLGA8R_1,NM_001282484.1_1,13706
GOLGA8R_2,NM_001282484.1_2,13706
GOLGA8S,NM_001355465.2,13742
GOLGA8S_1,NM_001355465.2_1,13742
GOLGA8T,NM_001355469.2,13698
GOLGA8T_1,XM_054331809.1,17494
GOLGA8T_2,XM_054330037.1,17494
GOLGB1,XM_047447994.1,86766
GOLIM4,NM_001308155.2,87236
GOLM1,NM_177937.3,74004
GOLM2,NR_157849.2,127040
GOLPH3,NM_022130.4,49604
GOLPH3L,NM_018178.6,50925
GOLT1A,XM_017000314.2,15826
GOLT1B,NM_016072.5,16620
GON4L,XM_047423299.1,114320
GON7,NM_032490.5,4172
GON7_1,NM_032490.5_1,4172
