gene_id,transcript_id,length,start,end,chromosome
IDNK,XM_006717110.4,21118,83623006,83644123,NC_000009.12
IDO1,NM_002164.6,14900,39913891,39928790,NC_000008.11
IDO2,NM_194294.5,81742,39934651,40016392,NC_000008.11
IDS,NM_001166550.4,28319,149476988,149505306,NC_000023.11
IDUA,XM_047415649.1,21355,986997,1008351,NC_000004.12
IER2,NM_004907.3,4501,13150411,13154911,NC_000019.10
IER3,NM_003897.4,1349,30743199,30744547,NC_000006.12
IER3-AS1,NR_149095.1,711,30742963,30743673,NC_000006.12
IER3-AS1_1,NR_149095.1_1,711,2222703,2223413,NT_113891.3
IER3-AS1_2,NR_149095.1_2,711,1998814,1999524,NT_167245.2
IER3-AS1_3,NR_149095.1_3,711,2053214,2053924,NT_167246.2
IER3-AS1_4,NR_149095.1_4,711,1998073,1998783,NT_167248.2
IER3-AS1_5,NR_149095.1_5,711,2043759,2044469,NT_167249.2
IER3IP1,NM_016097.5,23531,47152834,47176364,NC_000018.10
IER3_1,NM_003897.4_1,1349,2222939,2224287,NT_113891.3
IER3_2,NM_003897.4_2,1349,1999050,2000398,NT_167245.2
IER3_3,NM_003897.4_3,1349,2053450,2054798,NT_167246.2
IER3_4,NM_003897.4_4,1349,1998309,1999657,NT_167248.2
IER3_5,NM_003897.4_5,1349,2043995,2045343,NT_167249.2
IER5,NM_016545.5,4201,181088700,181092900,NC_000001.11
IER5L,NM_203434.3,2710,129175552,129178261,NC_000009.12
IER5L-AS1,NR_187590.1,24369,129236229,129260597,NC_000009.12
IFFO1,NR_036467.2,17082,6538961,6556042,NC_000012.12
IFFO2,XM_047444839.1,52397,18904280,18956676,NC_000001.11
IFI16,NM_001364867.2,55176,158999976,159055151,NC_000001.11
IFI27,XM_047431346.1,10797,94105894,94116690,NC_000014.9
IFI27L1,NM_145249.3,21400,94081310,94102709,NC_000014.9
IFI27L1_1,NM_145249.3_1,21400,1195872,1217271,NT_187601.1
IFI27L2,NM_032036.3,1824,94127781,94129604,NC_000014.9
IFI27L2_1,NM_032036.3_1,1824,1242343,1244166,NT_187601.1
IFI27_1,XM_054328975.1,11860,1219393,1231252,NT_187601.1
IFI30,NM_006332.5,4305,18173813,18178117,NC_000019.10
IFI35,NM_005533.5,7673,43006784,43014456,NC_000017.11
IFI44,NR_135641.1,14290,78649789,78664078,NC_000001.11
IFI44L,NM_001375646.1,25698,78620448,78646145,NC_000001.11
IFI6,NM_002038.4,6129,27666064,27672192,NC_000001.11
IFIH1,NM_022168.4,51611,162267074,162318684,NC_000002.12
IFIT1,NM_001270930.2,13865,89392623,89406487,NC_000010.11
IFIT1B,NM_001010987.2,7150,89378056,89385205,NC_000010.11
IFIT2,NM_001547.5,7226,89302046,89309271,NC_000010.11
IFIT3,NM_001289758.2,12972,89327997,89340968,NC_000010.11
IFIT5,NM_012420.3,6430,89414568,89420997,NC_000010.11
IFITM1,NM_003641.5,1233,314040,315272,NC_000011.10
IFITM10,NM_001170820.4,18190,1732406,1750595,NC_000011.10
IFITM10_1,NM_001170820.4_1,3044,206152,209195,NT_187657.1
IFITM2,NM_006435.3,1580,307816,309395,NC_000011.10
IFITM3,NR_049759.2,1185,319676,320860,NC_000011.10
IFITM4P,NR_001590.1,342,29750807,29751148,NC_000006.12
IFITM4P_1,NR_001590.1_1,343,1234650,1234992,NT_113891.3
IFITM4P_2,NR_001590.1_2,343,1013874,1014216,NT_167245.2
IFITM4P_3,NR_001590.1_3,343,1013469,1013811,NT_167246.2
IFITM4P_4,NR_001590.1_4,342,1013533,1013874,NT_167247.2
IFITM4P_5,NR_001590.1_5,343,1013848,1014190,NT_167248.2
IFITM4P_6,NR_001590.1_6,343,1057033,1057375,NT_167249.2
IFITM5,NM_001025295.3,1327,298200,299526,NC_000011.10
IFNA1,NM_024013.3,878,21440439,21441316,NC_000009.12
IFNA10,NM_002171.2,963,21206181,21207143,NC_000009.12
IFNA13,NM_006900.4,686,21367372,21368057,NC_000009.12
IFNA14,NM_002172.3,1004,21239002,21240005,NC_000009.12
IFNA16,NM_002173.3,939,21216373,21217311,NC_000009.12
IFNA17,NM_021268.2,980,21227243,21228222,NC_000009.12
IFNA2,NM_000605.4,1144,21384255,21385398,NC_000009.12
IFNA21,NM_002175.2,1024,21165637,21166660,NC_000009.12
IFNA22P,NR_036676.1,876,21277688,21278563,NC_000009.12
IFNA4,NM_021068.4,970,21186618,21187587,NC_000009.12
IFNA5,NM_002169.3,988,21304326,21305313,NC_000009.12
IFNA6,NM_021002.2,570,21350318,21350887,NC_000009.12
IFNA7,NM_021057.2,737,21201469,21202205,NC_000009.12
IFNA8,NM_002170.4,1069,21409117,21410185,NC_000009.12
IFNAR1,NM_001384504.1,35470,33324395,33359864,NC_000021.9
IFNAR2,NM_000874.5,35727,33229938,33265664,NC_000021.9
IFNAR2-IL10RB,NM_001414505.1,67284,33229938,33297221,NC_000021.9
IFNB1,NM_002176.4,839,21077104,21077942,NC_000009.12
IFNE,NM_176891.5,1475,21480839,21482313,NC_000009.12
IFNG,NM_000619.3,4973,68154768,68159740,NC_000012.12
IFNG-AS1,NR_186228.2,31867,67989447,68021313,NC_000012.12
IFNGR1,XM_011535793.3,21902,137197484,137219385,NC_000006.12
IFNGR2,NM_001329128.2,34635,33402882,33437516,NC_000021.9
IFNGR2_1,NM_001329128.2_1,26684,5405,32088,NW_003315970.2
IFNK,NM_020124.3,2209,27524290,27526498,NC_000009.12
IFNL1,NM_172140.2,2267,39296407,39298673,NC_000019.10
IFNL1_1,NM_172140.2_1,2267,76789,79055,NW_025791808.1
IFNL2,NM_172138.2,1793,39268396,39270188,NC_000019.10
IFNL2_1,NM_172138.2_1,1793,48778,50570,NW_025791808.1
IFNL3,NM_001346937.2,1796,39243455,39245250,NC_000019.10
IFNL3_1,NM_001346937.2_1,1796,23838,25633,NW_025791808.1
IFNL4,NR_074079.1,2543,39246314,39248856,NC_000019.10
IFNL4_1,NM_001276254.2,2542,26697,29238,NW_025791808.1
IFNLR1,NM_173065.3,33122,24154168,24187289,NC_000001.11
IFNW1,NM_002177.3,1201,21140632,21141832,NC_000009.12
IFRD1,NM_001007245.3,54030,112423174,112477203,NC_000007.14
IFRD2,NM_006764.5,4698,50287732,50292429,NC_000003.12
IFT122,NM_001280545.2,80284,129440224,129520507,NC_000003.12
IFT122P3,NR_034179.1,10034,128861508,128871541,NC_000003.12
IFT140,XM_047434970.1,101646,1510427,1612072,NC_000016.10
IFT172,XM_047443900.1,45367,27444377,27489743,NC_000002.12
IFT20,NM_001267778.2,7147,28328326,28335472,NC_000017.11
IFT22,NM_001130822.3,10899,101310914,101321812,NC_000007.14
IFT25,XM_047422521.1,34124,53911576,53945699,NC_000001.11
IFT27,NM_001363003.2,17909,36758211,36776119,NC_000022.11
IFT43,NR_045665.2,98311,75985763,76084073,NC_000014.9
IFT46,XM_011542906.4,32356,118544543,118576898,NC_000011.10
IFT52,NM_001323578.2,56363,43590937,43647299,NC_000020.11
IFT56,NM_001318333.2,58209,139133778,139191986,NC_000007.14
IFT57,NM_018010.4,61613,108160812,108222424,NC_000003.12
IFT70A,NM_152275.4,5744,177612999,177618742,NC_000002.12
IFT70B,NM_152517.3,3799,177548998,177552796,NC_000002.12
IFT74,NM_001099223.3,119025,26947110,27066134,NC_000009.12
IFT74-AS1,NR_121605.1,528,26955780,26956307,NC_000009.12
IFT80,NM_020800.3,142240,160256986,160399225,NC_000003.12
IFT81,NR_144952.2,94437,110124357,110218793,NC_000012.12
IFT88,NR_134653.2,124288,20567157,20691444,NC_000013.11
IFTAP,NR_077243.2,64771,36594502,36659272,NC_000011.10
IGBP1,NM_001551.3,32878,70133447,70166324,NC_000023.11
IGBP1C,NM_001395966.1,31622,58660424,58692045,NC_000017.11
IGBP1P1,NR_002937.2,575,34939922,34940496,NC_000014.9
IGDCC3,XM_011522241.3,50876,65327127,65378002,NC_000015.10
IGDCC4,NM_020962.3,41464,65381484,65422947,NC_000015.10
IGF1,XM_017019263.3,85966,102395874,102481839,NC_000012.12
IGF1R,NM_000875.5,315992,98648539,98964530,NC_000015.10
IGF2,NM_001007139.6,20450,2129117,2149566,NC_000011.10
IGF2-AS,NR_028043.2,8155,2140512,2148666,NC_000011.10
IGF2BP1,XM_047435139.1,59588,48996558,49056145,NC_000017.11
IGF2BP2,NR_138486.2,181913,185643130,185825042,NC_000003.12
IGF2BP2-AS1,NR_126326.1,16536,185713252,185729787,NC_000003.12
IGF2BP3,NM_006547.3,160283,23310209,23470491,NC_000007.14
IGF2R,NM_000876.4,142423,159969082,160111504,NC_000006.12
IGFALS,NR_027389.1,4496,1790413,1794908,NC_000016.10
IGFBP-AS1,NR_187138.1,116628,216694446,216811073,NC_000002.12
IGFBP1,NM_000596.4,5173,45888488,45893660,NC_000007.14
IGFBP2,NM_001313992.2,31609,216632828,216664436,NC_000002.12
IGFBP3,NM_000598.5,9028,45912245,45921272,NC_000007.14
IGFBP4,NM_001552.3,14276,40443450,40457725,NC_000017.11
IGFBP5,NM_000599.4,23445,216672105,216695549,NC_000002.12
IGFBP6,NM_002178.3,4674,53097667,53102340,NC_000012.12
IGFBP7,NM_001553.3,79613,57030773,57110385,NC_000004.12
IGFBP7-AS1,NR_034081.1,95538,57109762,57205299,NC_000004.12
IGFBPL1,NM_001007563.3,17927,38406528,38424454,NC_000009.12
IGFL1,NM_198541.2,1502,46229742,46231243,NC_000019.10
IGFL2,XR_007066608.1,136231,46079132,46215362,NC_000019.10
IGFL2-AS1,NR_135234.1,14034,46189029,46203062,NC_000019.10
IGFL3,XM_011526953.3,4622,46120067,46124688,NC_000019.10
IGFL4,NR_169756.1,38448,46039182,46077629,NC_000019.10
IGFLR1,NR_144340.2,3652,35738801,35742452,NC_000019.10
IGFN1,NM_001164586.2,38129,201190824,201228952,NC_000001.11
IGHA1,unassigned_transcript_2473,1497,105707168,105708664,NC_000014.9
IGHA1_1,unassigned_transcript_4249,1497,174937,176433,NT_187600.1
IGHA2,unassigned_transcript_2466,1458,105586937,105588394,NC_000014.9
IGHA2_1,unassigned_transcript_4242,1458,55293,56750,NT_187600.1
IGHD,unassigned_transcript_2478,7277,105838401,105845677,NC_000014.9
IGHD1-1,unassigned_transcript_2520,17,105919502,105919518,NC_000014.9
IGHD1-14,unassigned_transcript_2507,17,105900638,105900654,NC_000014.9
IGHD1-14_1,unassigned_transcript_4283,17,368407,368423,NT_187600.1
IGHD1-1_1,unassigned_transcript_4296,17,387271,387287,NT_187600.1
IGHD1-20,unassigned_transcript_2501,17,105891191,105891207,NC_000014.9
IGHD1-20_1,unassigned_transcript_4277,17,358960,358976,NT_187600.1
IGHD1-26,unassigned_transcript_2495,20,105881034,105881053,NC_000014.9
IGHD1-26_1,unassigned_transcript_4271,20,348803,348822,NT_187600.1
IGHD1-7,unassigned_transcript_2514,17,105909907,105909923,NC_000014.9
IGHD1-7_1,unassigned_transcript_4290,17,377676,377692,NT_187600.1
IGHD2-15,unassigned_transcript_2506,31,105897957,105897987,NC_000014.9
IGHD2-15_1,unassigned_transcript_4282,31,365726,365756,NT_187600.1
IGHD2-2,unassigned_transcript_2519,31,105916826,105916856,NC_000014.9
IGHD2-21,unassigned_transcript_2500,28,105888551,105888578,NC_000014.9
IGHD2-21_1,unassigned_transcript_4276,28,356320,356347,NT_187600.1
IGHD2-2_1,unassigned_transcript_4295,31,384595,384625,NT_187600.1
IGHD2-8,unassigned_transcript_2513,31,105907211,105907241,NC_000014.9
IGHD2-8_1,unassigned_transcript_4289,31,374980,375010,NT_187600.1
IGHD3-10,unassigned_transcript_2511,31,105904497,105904527,NC_000014.9
IGHD3-10_1,unassigned_transcript_4287,31,372266,372296,NT_187600.1
IGHD3-16,unassigned_transcript_2505,37,105895634,105895670,NC_000014.9
IGHD3-16_1,unassigned_transcript_4281,37,363403,363439,NT_187600.1
IGHD3-22,unassigned_transcript_2499,31,105886031,105886061,NC_000014.9
IGHD3-22_1,unassigned_transcript_4275,31,353800,353830,NT_187600.1
IGHD3-3,unassigned_transcript_2518,31,105914359,105914389,NC_000014.9
IGHD3-3_1,unassigned_transcript_4294,31,382128,382158,NT_187600.1
IGHD3-9,unassigned_transcript_2512,31,105904681,105904711,NC_000014.9
IGHD3-9_1,unassigned_transcript_4288,31,372450,372480,NT_187600.1
IGHD4-11,unassigned_transcript_2510,16,105903616,105903631,NC_000014.9
IGHD4-11_1,unassigned_transcript_4286,16,371385,371400,NT_187600.1
IGHD4-17,unassigned_transcript_2504,16,105894508,105894523,NC_000014.9
IGHD4-17_1,unassigned_transcript_4280,16,362277,362292,NT_187600.1
IGHD4-23,unassigned_transcript_2498,19,105884870,105884888,NC_000014.9
IGHD4-23_1,unassigned_transcript_4274,19,352639,352657,NT_187600.1
IGHD4-4,unassigned_transcript_2517,16,105913222,105913237,NC_000014.9
IGHD4-4_1,unassigned_transcript_4293,16,380991,381006,NT_187600.1
IGHD5-12,unassigned_transcript_2509,23,105902649,105902671,NC_000014.9
IGHD5-12_1,unassigned_transcript_4285,23,370418,370440,NT_187600.1
IGHD5-18,unassigned_transcript_2503,20,105893542,105893561,NC_000014.9
IGHD5-18_1,unassigned_transcript_4279,20,361311,361330,NT_187600.1
IGHD5-24,unassigned_transcript_2497,20,105883903,105883922,NC_000014.9
IGHD5-24_1,unassigned_transcript_4273,20,351672,351691,NT_187600.1
IGHD5-5,unassigned_transcript_2516,20,105912257,105912276,NC_000014.9
IGHD5-5_1,unassigned_transcript_4292,20,380026,380045,NT_187600.1
IGHD6-13,unassigned_transcript_2508,21,105901142,105901162,NC_000014.9
IGHD6-13_1,unassigned_transcript_4284,21,368911,368931,NT_187600.1
IGHD6-19,unassigned_transcript_2502,21,105891699,105891719,NC_000014.9
IGHD6-19_1,unassigned_transcript_4278,21,359468,359488,NT_187600.1
IGHD6-25,unassigned_transcript_2496,18,105881539,105881556,NC_000014.9
IGHD6-25_1,unassigned_transcript_4272,18,349308,349325,NT_187600.1
IGHD6-6,unassigned_transcript_2515,18,105910410,105910427,NC_000014.9
IGHD6-6_1,unassigned_transcript_4291,18,378179,378196,NT_187600.1
IGHD7-27,unassigned_transcript_2493,11,105865551,105865561,NC_000014.9
IGHD7-27_1,unassigned_transcript_4269,11,333320,333330,NT_187600.1
IGHD_1,unassigned_transcript_4254,7277,306170,313446,NT_187600.1
IGHE,unassigned_transcript_2467,1662,105600066,105601727,NC_000014.9
IGHEP1,unassigned_transcript_2474,734,105721794,105722527,NC_000014.9
IGHEP1_1,unassigned_transcript_4250,734,189563,190296,NT_187600.1
IGHE_1,unassigned_transcript_4243,1662,67840,69501,NT_187600.1
IGHG1,unassigned_transcript_2475,1598,105741473,105743070,NC_000014.9
IGHG1_1,unassigned_transcript_4251,1598,209242,210839,NT_187600.1
IGHG2,unassigned_transcript_2471,1587,105643203,105644789,NC_000014.9
IGHG2_1,unassigned_transcript_4247,1587,110972,112558,NT_187600.1
IGHG3,unassigned_transcript_2476,5492,105765914,105771405,NC_000014.9
IGHG3_1,unassigned_transcript_4252,5492,233683,239174,NT_187600.1
IGHG4,unassigned_transcript_2469,1590,105624476,105626065,NC_000014.9
IGHG4_1,unassigned_transcript_4245,1590,92245,93834,NT_187600.1
IGHGP,unassigned_transcript_2472,1792,105668249,105670040,NC_000014.9
IGHGP_1,unassigned_transcript_4248,1792,136018,137809,NT_187600.1
IGHJ1,unassigned_transcript_2492,54,105865405,105865458,NC_000014.9
IGHJ1P,unassigned_transcript_2494,54,105865624,105865677,NC_000014.9
IGHJ1P_1,unassigned_transcript_4270,54,333393,333446,NT_187600.1
IGHJ1_1,unassigned_transcript_4268,54,333174,333227,NT_187600.1
IGHJ2,unassigned_transcript_2491,55,105865197,105865251,NC_000014.9
IGHJ2P,unassigned_transcript_2490,60,105864793,105864852,NC_000014.9
IGHJ2P_1,unassigned_transcript_4266,60,332562,332621,NT_187600.1
IGHJ2_1,unassigned_transcript_4267,55,332966,333020,NT_187600.1
IGHJ3,unassigned_transcript_2489,52,105864585,105864636,NC_000014.9
IGHJ3P,unassigned_transcript_2486,51,105863415,105863465,NC_000014.9
IGHJ3P_1,unassigned_transcript_4262,51,331184,331234,NT_187600.1
IGHJ3_1,unassigned_transcript_4265,52,332354,332405,NT_187600.1
IGHJ4,unassigned_transcript_2488,50,105864213,105864262,NC_000014.9
IGHJ4_1,unassigned_transcript_4264,50,331982,332031,NT_187600.1
IGHJ5,unassigned_transcript_2487,53,105863812,105863864,NC_000014.9
IGHJ5_1,unassigned_transcript_4263,53,331581,331633,NT_187600.1
IGHJ6,unassigned_transcript_2485,65,105863196,105863260,NC_000014.9
IGHJ6_1,unassigned_transcript_4261,65,330965,331029,NT_187600.1
IGHM,unassigned_transcript_2479,4252,105851966,105856217,NC_000014.9
IGHMBP2,NM_002180.3,36711,68903891,68940601,NC_000011.10
IGHM_1,unassigned_transcript_4255,4252,319735,323986,NT_187600.1
IGHV1-12,unassigned_transcript_2537,290,106122420,106122709,NC_000014.9
IGHV1-12_1,unassigned_transcript_4313,290,590189,590478,NT_187600.1
IGHV1-14,unassigned_transcript_2540,250,106145882,106146131,NC_000014.9
IGHV1-14_1,unassigned_transcript_4316,250,613651,613900,NT_187600.1
IGHV1-17,unassigned_transcript_2545,437,106174342,106174778,NC_000014.9
IGHV1-17_1,unassigned_transcript_4321,437,642111,642547,NT_187600.1
IGHV1-18,unassigned_transcript_2546,437,106184899,106185335,NC_000014.9
IGHV1-18_1,unassigned_transcript_4322,437,652668,653104,NT_187600.1
IGHV1-2,unassigned_transcript_2523,438,105986582,105987019,NC_000014.9
IGHV1-24,unassigned_transcript_2555,438,106276546,106276983,NC_000014.9
IGHV1-24_1,unassigned_transcript_4331,438,744315,744752,NT_187600.1
IGHV1-2_1,unassigned_transcript_4299,438,454351,454788,NT_187600.1
IGHV1-3,unassigned_transcript_2525,438,106005095,106005532,NC_000014.9
IGHV1-3_1,unassigned_transcript_4301,438,472864,473301,NT_187600.1
IGHV1-45,unassigned_transcript_2591,438,106506996,106507433,NC_000014.9
IGHV1-45_1,unassigned_transcript_4367,438,998675,999112,NT_187600.1
IGHV1-46,unassigned_transcript_2592,438,106511115,106511552,NC_000014.9
IGHV1-46_1,unassigned_transcript_4368,438,1002794,1003231,NT_187600.1
IGHV1-58,unassigned_transcript_2610,438,106622357,106622794,NC_000014.9
IGHV1-58_1,unassigned_transcript_4386,438,1114036,1114473,NT_187600.1
IGHV1-67,unassigned_transcript_2622,440,106680603,106681042,NC_000014.9
IGHV1-67_1,unassigned_transcript_4398,440,1172282,1172721,NT_187600.1
IGHV1-68,unassigned_transcript_2627,480,106703807,106704286,NC_000014.9
IGHV1-68_1,unassigned_transcript_4403,480,1195486,1195965,NT_187600.1
IGHV1-69,unassigned_transcript_2628,439,106714682,106715120,NC_000014.9
IGHV1-69-2,unassigned_transcript_2631,438,106737110,106737547,NC_000014.9
IGHV1-69-2_1,unassigned_transcript_4407,438,1228789,1229226,NT_187600.1
IGHV1-69D,unassigned_transcript_2632,439,106762092,106762530,NC_000014.9
IGHV1-69D_1,unassigned_transcript_4408,439,1253361,1253799,NT_187600.1
IGHV1-69_1,unassigned_transcript_4404,439,1206361,1206799,NT_187600.1
IGHV1OR15-1,NR_135694.1,642,22160289,22160930,NC_000015.10
IGHV1OR15-1_1,NR_135694.1_1,642,1388910,1389551,NW_021160017.1
IGHV1OR15-3,NR_135666.1,742,21735258,21735999,NC_000015.10
IGHV1OR15-3_1,NR_135666.1_1,742,2324414,2325155,NW_021160017.1
IGHV2-26,unassigned_transcript_2558,444,106301395,106301838,NC_000014.9
IGHV2-26_1,unassigned_transcript_4334,444,769164,769607,NT_187600.1
IGHV2-5,unassigned_transcript_2528,444,106037902,106038345,NC_000014.9
IGHV2-5_1,unassigned_transcript_4304,444,505671,506114,NT_187600.1
IGHV2-70,unassigned_transcript_2633,444,106770577,106771020,NC_000014.9
IGHV2-70D,unassigned_transcript_2629,444,106723574,106724017,NC_000014.9
IGHV2-70D_1,unassigned_transcript_4405,444,1215253,1215696,NT_187600.1
IGHV2-70_1,unassigned_transcript_4409,444,1261745,1262188,NT_187600.1
IGHV3-11,unassigned_transcript_2535,450,106116635,106117084,NC_000014.9
IGHV3-11_1,unassigned_transcript_4311,450,584404,584853,NT_187600.1
IGHV3-13,unassigned_transcript_2538,453,106129540,106129992,NC_000014.9
IGHV3-13_1,unassigned_transcript_4314,453,597309,597761,NT_187600.1
IGHV3-15,unassigned_transcript_2541,462,106153622,106154083,NC_000014.9
IGHV3-15_1,unassigned_transcript_4317,462,621391,621852,NT_187600.1
IGHV3-16,unassigned_transcript_2543,454,106165203,106165656,NC_000014.9
IGHV3-16_1,unassigned_transcript_4319,454,632972,633425,NT_187600.1
IGHV3-19,unassigned_transcript_2547,293,106196698,106196990,NC_000014.9
IGHV3-19_1,unassigned_transcript_4323,293,664467,664759,NT_187600.1
IGHV3-20,unassigned_transcript_2548,456,106210936,106211391,NC_000014.9
IGHV3-20_1,unassigned_transcript_4324,456,678705,679160,NT_187600.1
IGHV3-21,unassigned_transcript_2550,454,106235062,106235515,NC_000014.9
IGHV3-21_1,unassigned_transcript_4326,454,702831,703284,NT_187600.1
IGHV3-22,unassigned_transcript_2551,462,106257762,106258223,NC_000014.9
IGHV3-22_1,unassigned_transcript_4327,462,725531,725992,NT_187600.1
IGHV3-23,unassigned_transcript_2554,456,106268606,106269061,NC_000014.9
IGHV3-23_1,unassigned_transcript_4330,456,736375,736830,NT_187600.1
IGHV3-25,unassigned_transcript_2556,454,106289026,106289479,NC_000014.9
IGHV3-25_1,unassigned_transcript_4332,454,756795,757248,NT_187600.1
IGHV3-29,unassigned_transcript_2564,458,106331106,106331563,NC_000014.9
IGHV3-29_1,unassigned_transcript_4340,458,798875,799332,NT_187600.1
IGHV3-30,unassigned_transcript_2565,454,106335080,106335533,NC_000014.9
IGHV3-30-2,unassigned_transcript_2567,449,106344385,106344833,NC_000014.9
IGHV3-30-2_1,unassigned_transcript_4343,449,812154,812602,NT_187600.1
IGHV3-30_1,unassigned_transcript_4341,454,802849,803302,NT_187600.1
IGHV3-32,unassigned_transcript_2570,458,106356145,106356602,NC_000014.9
IGHV3-32_1,unassigned_transcript_4346,505,823913,824417,NT_187600.1
IGHV3-33,unassigned_transcript_2571,454,106359791,106360244,NC_000014.9
IGHV3-33-2,unassigned_transcript_2573,449,106369098,106369546,NC_000014.9
IGHV3-33-2_1,unassigned_transcript_4349,449,860777,861225,NT_187600.1
IGHV3-33_1,unassigned_transcript_4347,454,851470,851923,NT_187600.1
IGHV3-35,unassigned_transcript_2576,454,106389390,106389843,NC_000014.9
IGHV3-35_1,unassigned_transcript_4352,454,881069,881522,NT_187600.1
IGHV3-36,unassigned_transcript_2577,463,106392769,106393231,NC_000014.9
IGHV3-36_1,unassigned_transcript_4353,463,884448,884910,NT_187600.1
IGHV3-37,unassigned_transcript_2578,450,106396665,106397114,NC_000014.9
IGHV3-37_1,unassigned_transcript_4354,450,888344,888793,NT_187600.1
IGHV3-38,unassigned_transcript_2579,450,106410494,106410943,NC_000014.9
IGHV3-38_1,unassigned_transcript_4355,450,902173,902622,NT_187600.1
IGHV3-41,unassigned_transcript_2584,456,106443129,106443584,NC_000014.9
IGHV3-41_1,unassigned_transcript_4360,456,934808,935263,NT_187600.1
IGHV3-42,unassigned_transcript_2585,435,106463254,106463688,NC_000014.9
IGHV3-42_1,unassigned_transcript_4361,435,954933,955367,NT_187600.1
IGHV3-43,unassigned_transcript_2586,458,106470263,106470720,NC_000014.9
IGHV3-43_1,unassigned_transcript_4362,458,961942,962399,NT_187600.1
IGHV3-47,unassigned_transcript_2594,456,106518579,106519034,NC_000014.9
IGHV3-47_1,unassigned_transcript_4370,456,1010258,1010713,NT_187600.1
IGHV3-48,unassigned_transcript_2596,456,106537810,106538265,NC_000014.9
IGHV3-48_1,unassigned_transcript_4372,456,1029489,1029944,NT_187600.1
IGHV3-49,unassigned_transcript_2597,462,106556936,106557397,NC_000014.9
IGHV3-49_1,unassigned_transcript_4373,462,1048615,1049076,NT_187600.1
IGHV3-50,unassigned_transcript_2599,456,106566100,106566555,NC_000014.9
IGHV3-50_1,unassigned_transcript_4375,456,1057779,1058234,NT_187600.1
IGHV3-52,unassigned_transcript_2603,451,106586376,106586826,NC_000014.9
IGHV3-52_1,unassigned_transcript_4379,451,1078055,1078505,NT_187600.1
IGHV3-53,unassigned_transcript_2604,451,106592676,106593126,NC_000014.9
IGHV3-53_1,unassigned_transcript_4380,451,1084355,1084805,NT_187600.1
IGHV3-54,unassigned_transcript_2606,457,106601336,106601792,NC_000014.9
IGHV3-54_1,unassigned_transcript_4382,457,1093015,1093471,NT_187600.1
IGHV3-57,unassigned_transcript_2609,306,106618909,106619214,NC_000014.9
IGHV3-57_1,unassigned_transcript_4385,306,1110588,1110893,NT_187600.1
IGHV3-6,unassigned_transcript_2531,455,106055544,106055998,NC_000014.9
IGHV3-60,unassigned_transcript_2612,457,106631197,106631653,NC_000014.9
IGHV3-60_1,unassigned_transcript_4388,457,1122876,1123332,NT_187600.1
IGHV3-62,unassigned_transcript_2615,456,106643130,106643585,NC_000014.9
IGHV3-62_1,unassigned_transcript_4391,456,1134809,1135264,NT_187600.1
IGHV3-63,unassigned_transcript_2617,468,106652213,106652680,NC_000014.9
IGHV3-63_1,unassigned_transcript_4393,468,1143892,1144359,NT_187600.1
IGHV3-64,unassigned_transcript_2618,456,106657723,106658178,NC_000014.9
IGHV3-64D,unassigned_transcript_2533,452,106088122,106088573,NC_000014.9
IGHV3-64D_1,unassigned_transcript_4309,452,555891,556342,NT_187600.1
IGHV3-64_1,unassigned_transcript_4394,456,1149402,1149857,NT_187600.1
IGHV3-65,unassigned_transcript_2619,495,106666038,106666532,NC_000014.9
IGHV3-65_1,unassigned_transcript_4395,495,1157717,1158211,NT_187600.1
IGHV3-66,unassigned_transcript_2621,451,106675015,106675465,NC_000014.9
IGHV3-66_1,unassigned_transcript_4397,451,1166694,1167144,NT_187600.1
IGHV3-69-1,unassigned_transcript_2630,453,106728163,106728615,NC_000014.9
IGHV3-69-1_1,unassigned_transcript_4406,453,1219842,1220294,NT_187600.1
IGHV3-6_1,unassigned_transcript_4307,455,523313,523767,NT_187600.1
IGHV3-7,unassigned_transcript_2532,456,106062149,106062604,NC_000014.9
IGHV3-71,unassigned_transcript_2634,462,106775157,106775618,NC_000014.9
IGHV3-71_1,unassigned_transcript_4410,462,1266331,1266792,NT_187600.1
IGHV3-72,unassigned_transcript_2635,462,106790692,106791153,NC_000014.9
IGHV3-72_1,unassigned_transcript_4411,462,1281866,1282327,NT_187600.1
IGHV3-73,unassigned_transcript_2636,462,106802692,106803153,NC_000014.9
IGHV3-73_1,unassigned_transcript_4412,462,1293866,1294327,NT_187600.1
IGHV3-74,unassigned_transcript_2637,456,106810440,106810895,NC_000014.9
IGHV3-74_1,unassigned_transcript_4413,456,1301614,1302069,NT_187600.1
IGHV3-75,unassigned_transcript_2639,470,106823678,106824147,NC_000014.9
IGHV3-75_1,unassigned_transcript_4415,470,1314852,1315321,NT_187600.1
IGHV3-76,unassigned_transcript_2640,450,106827861,106828310,NC_000014.9
IGHV3-76_1,unassigned_transcript_4416,450,1319035,1319484,NT_187600.1
IGHV3-79,unassigned_transcript_2646,453,106867640,106868092,NC_000014.9
IGHV3-7_1,unassigned_transcript_4308,456,529918,530373,NT_187600.1
IGHV3OR16-17,unassigned_transcript_2865,551,33844758,33845308,NC_000016.10
IGHV3OR16-8,unassigned_transcript_2864,523,33009124,33009646,NC_000016.10
IGHV4-28,unassigned_transcript_2562,435,106324254,106324688,NC_000014.9
IGHV4-28_1,unassigned_transcript_4338,435,792023,792457,NT_187600.1
