gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
SH3BGRL3,NM_031286.4,1437,NM_031286.4,1437
PGBD4,NM_152595.5,6604,NM_152595.5,6604
LOC340184,XR_001743973.2,20143,XR_001743973.2,20143
SKA1,NM_001039535.3,19123,NM_145060.4,19123
LOC105375370,XR_927705.4,19546,XR_927705.4,19546
LOC124903061,XM_047429968.1,2195,XM_047429968.1,2195
LOC101929894,XR_002957884.2,36477,XR_001752367.2,36477
GABRB1,XM_024453977.2,432801,XM_024453976.2,432801
LOC124902894,XM_047429949.1,150851,XM_047429949.1,150851
U2AF1,XM_011529743.4,14623,XM_024452130.2,14623
CACNA1A,NM_001127222.2,300038,NM_023035.3,300038
FNIP1,NM_001346114.2,155304,NM_133372.3,155304
LOC124903079,XR_007063586.1,5481,XR_007063586.1,5481
ZFYVE19,NM_001077268.2,7996,NM_032850.5,7996
NPRL2,NM_006545.5,3446,XM_011533288.4,3446
AQP4-AS1,NR_026908.1,70639,NR_026908.1,70639
LINC03090,XR_928462.3,11920,XR_928461.3,11920
NF2,NM_016418.5,95045,NM_016418.5,95045
WWTR1-IT1,NR_174973.1,3049,NR_174973.1,3049
ACACA,XM_011524701.2,321845,NM_198839.3,325001
LOC105372203,XR_007066433.1,3205,XR_007066433.1,3205
CCDC83,XM_011544839.3,64948,XM_011544839.3,64948
LINC02637,NR_187473.1,6650,NR_187473.1,6650
LOC124904339,XR_007066434.1,1585,XR_007066434.1,1585
LOC107984564,XR_001749930.2,1154,XR_001749930.2,1154
DNMT3L,NM_175867.3,15559,NM_013369.4,15559
STEAP2,XM_017011958.3,26918,XM_017011958.3,26918
ELOA2,NM_016427.3,3095,NM_016427.3,3095
TMX3,NM_001350516.2,41421,NM_001350517.2,41421
GHSR,NM_198407.2,5166,NM_198407.2,5166
CEBPB-AS1,NR_125739.1,7467,NR_125739.1,7467
SNCA,NR_164674.1,114206,NM_001375285.1,114206
ELAVL4,NM_001324208.2,155718,NM_001144777.3,155718
SLC38A5,XM_006724569.4,11717,NM_033518.4,11717
NTRAS,NR_131925.1,14815,NR_131925.1,14815
WFDC6,NM_080827.2,5287,NM_080827.2,5287
LOC105374669,XR_925815.1,18031,XR_925817.1,18031
SPATA8,NR_158220.1,2181,NR_158221.1,2181
LOC107986742,XR_001745024.2,8453,XR_001745024.2,8453
LOC124900309,XR_007063003.1,71,XR_007063003.1,71
NT5DC3,XR_001748758.2,94920,XR_007063089.1,94920
LOC124901724,XR_007060476.1,3499,XR_007060476.1,3499
MIR30D,NR_029599.1,70,NR_029599.1,70
FAM74A1,NR_026803.2,5852,NR_026803.2,5852
LINC02601,NR_135616.1,1040,NR_135616.1,1040
LCN15,XM_011518672.2,4885,NM_203347.2,4885
DAO,NM_001413634.1,20952,XM_005268692.5,20952
LINC02655,NR_155749.1,3938,NR_155749.1,3938
LOC101928834,NR_120646.1,18216,NR_120646.1,18216
MARCHF11,XM_047417230.1,112653,NM_001102562.3,112653
TDRD12,XM_011527471.4,109814,XM_047439672.1,109814
LOC124901151,XR_007059085.1,3022,XR_007059085.1,3022
LOC107986423,XR_001742743.2,5751,XR_001742743.2,5751
KILH,NR_110840.1,11987,NR_110840.1,11987
LOC105372948,XR_938047.2,63619,XR_938047.2,63619
C3orf49,XM_047447470.1,52552,XM_047447470.1,52552
LINC02771,NR_183725.1,6063,NR_183725.1,6063
TARS3,NM_152334.3,70878,NM_152334.3,70878
OR4D2,NM_001004707.4,4135,NM_001004707.4,4135
LOC124902704,XM_047427985.1,718,XM_047427985.1,718
RRN3P3,NR_027460.2,18790,NR_027460.2,18790
INTS10,NR_148452.2,34652,NM_001353520.2,34652
CLCN4,NM_001830.4,80686,NM_001256944.2,80686
DCTN6-DT,NR_186490.1,832,NR_186490.1,832
LOC643339,NR_040096.1,373979,NR_040096.1,373979
API5,NR_024625.2,32534,NM_001142931.2,32534
BMP2K,XM_047415932.1,140016,NM_001419799.1,140016
LRIG2,NM_001312686.2,59063,XM_005271369.3,59063
LINC02034,XR_007096066.1,19529,XR_007096067.1,19529
FBXL13,XM_017011850.3,263608,XM_011515929.4,263608
LOC124901035,XR_007058892.1,6585,XR_007058892.1,6585
TAS2R9,NM_023917.2,1075,NM_023917.2,1075
ARMCX3,NM_177948.3,4693,NM_177947.3,4693
FGF2,NM_002006.6,71555,NM_002006.6,71555
POLD1,XM_047438947.1,33696,XM_005259008.5,33696
LOC105372068,NR_134588.1,1941,NR_134588.1,1941
LOC102723994,XR_428445.4,1434,XR_428445.4,1434
MYO1G,NM_033054.3,16354,NM_033054.3,16354
LARGE1,XR_007067993.1,853814,XR_007067993.1,853814
LOC124905129,XR_007068120.1,6409,XR_007068120.1,6409
NPY6R,NR_002713.3,9559,NR_002713.3,9559
S100A3,NM_002960.2,1930,NM_002960.2,1930
TSR1,NM_018128.5,14062,NM_018128.5,14062
LOC124905533,XR_007069365.1,2960,XR_007069365.1,2960
PDIA5,NR_028444.2,95080,NM_006810.4,95080
GPC1-AS1,NR_161169.1,7322,NR_161169.1,7322
GUCY2EP,NR_024042.2,41624,NR_024042.2,41624
LOC105375457,XR_001745325.2,26390,XR_001745325.2,26390
CALML3,NM_005185.4,1811,NM_005185.4,1811
LOC124902766,XR_007062912.1,20016,XR_007062912.1,20016
LOC124906226,XR_007095860.1,902,XR_007095860.1,902
OLA1,NM_001011708.3,176086,NM_013341.5,176086
OR5H2,NM_001005482.2,1566,NM_001005482.2,1566
LOC107985703,XR_001755968.1,31957,XR_001755968.1,31957
PCDHB1-AS1,NR_105056.2,31827,NR_105056.2,31827
JMJD4,XM_011544262.4,4112,NM_023007.3,4112
LOC107985830,XR_001739224.1,4292,XR_001739224.1,4292
MIR633,NR_030363.1,98,NR_030363.1,98
SSU72L4,NM_001414001.1,1102,NM_001414001.1,1102
MIR4426,NR_039624.1,63,NR_039624.1,63
OR56A3,XM_047426926.1,79754,XM_047426926.1,79754
LOC107985406,XR_007067530.1,1763,XR_007067530.1,1763
TMTC4,XM_047430706.1,71451,XM_011521122.4,71451
MIR649,NR_030379.1,97,NR_030379.1,97
MTHFD2L,XM_047415712.1,188540,XM_047415714.1,188540
LOC112268036,XR_002956847.2,9040,XR_002956847.2,9040
ISCA2,NM_194279.4,3342,NM_001272007.2,3342
MUTYH,NR_176269.1,11199,NM_001407071.1,11199
LOC101927727,NR_135633.1,1581,NR_135633.1,1581
CTSLP2,NR_033407.1,2749,NR_033407.1,2749
LL22NC03-102D1.18,XR_001755442.1,15766,XR_001755442.1,15766
LOC124907877,XR_007087209.1,3095,XR_007087209.1,3095
LOC124903159,XR_007063761.1,128664,XR_007063761.1,128664
MIR205HG,NR_145434.1,3730,NR_145436.1,3730
OR52K1,NM_001005171.3,10852,NM_001385736.1,10852
LOC105370791,NR_188232.1,11979,NR_188233.1,11979
SLC6A17-AS1,NR_183667.1,2904,NR_183667.1,2904
LOC124903368,XR_007064315.1,5616,XR_007064315.1,5616
KRTAP10-9,NM_198690.3,1286,NM_198690.3,1286
EVX2,NM_001080458.2,6491,NM_001080458.2,6491
LOC102724560,NM_001354007.1,23753,XM_047440652.1,23753
CEP19,NM_001379470.1,5974,NM_032898.5,5974
CEBPB,NM_001285878.1,2108,NM_001285879.1,2108
LOC124902619,XR_007062560.1,999,XR_007062560.1,999
CGRRF1,NM_006568.3,29387,NM_006568.3,29387
NECTIN4,XM_005245508.4,18561,XM_011510021.3,18561
WNT11,XM_005274231.2,24437,XM_047427546.1,24437
LOC105371520,NR_188261.1,8703,NR_188261.1,8703
LOC107986845,NR_148338.1,5666,NR_148339.1,5666
LOC105376713,XR_001751508.2,5585,XR_001751508.2,5585
GRM7-AS1,NR_046606.1,15544,NR_046606.1,15544
LOC124906060,XR_007088648.1,5125,XR_007088648.1,5125
ZNF154,NR_110975.2,12930,NM_001085384.3,12930
FAM76B,NM_001330357.2,20830,XM_011542610.3,20830
PRDM6-AS1,NR_146771.1,4086,NR_146771.1,4086
LOC105374440,XR_925278.4,5090,XR_925278.4,5090
BAZ1B,NM_032408.4,81888,NM_001370402.1,81888
SF3B3,NM_012426.5,53853,NM_012426.5,53853
CTDP1,XM_047437924.1,79858,XM_047437924.1,79858
UGT1A8,NM_019076.5,155668,NM_019076.5,155668
EIF1B-AS1,NR_033965.1,136554,NR_033965.1,136554
LOC124904142,XR_007066015.1,191,XR_007066015.1,191
RTL3,NM_152694.3,3261,NM_152694.3,3261
CORO2A,NM_052820.4,71663,NM_052820.4,71663
LOC124903313,XR_007064161.1,2613,XR_007064161.1,2613
CLU,NM_001831.4,17784,NM_001831.4,17784
LOC124901081,XR_007058956.1,20491,XR_007058956.1,20491
OR5C1,NM_001001923.1,963,NM_001001923.1,963
ZNF781,NR_173329.1,24565,NR_173332.1,24565
COL11A2,NM_001424111.1,30444,XM_054330519.1,30880
MIR4512,NR_039737.1,77,NR_039737.1,77
MIR8082,NR_107049.1,81,NR_107049.1,81
MSC,NM_005098.4,2853,NM_005098.4,2853
LOC107985581,XR_001755596.3,21439,XR_001755596.3,21439
LINC01209,NR_110819.1,2847,NR_110819.1,2847
LOC105379174,XR_001742531.2,15292,XR_001742531.2,15292
TRAPPC10,XM_011529714.3,94244,XM_011529719.3,94244
LSM8,NM_016200.5,19872,NM_016200.5,19872
PHEX-AS1,NR_046639.1,10252,NR_046639.1,10252
FAM86DP,NR_024241.1,13564,NR_024241.1,13564
LOC107984983,XR_001753058.2,11778,XR_001753058.2,11778
ST3GAL3-AS1,NR_125986.1,17952,NR_125986.1,17952
ING3,NM_019071.3,26440,NM_019071.3,26440
SULT1A3,NM_177552.4,5056,NM_177552.4,5056
GLRA3,XM_047416196.1,192328,XM_017008630.2,192328
ZBTB17,NM_001324137.2,34233,NM_001287603.2,34233
LOC124904450,XR_007066716.1,6261,XR_007066716.1,6261
GAS2L1,NM_001362985.3,6138,XM_011529825.1,6138
MIR4679-1,NR_039826.1,75,NR_039826.1,75
LINC02656,NR_148966.1,3493,NR_148966.1,3493
LOC124906345,XR_007096305.1,72,XR_007096305.1,72
PORCN-DT,NR_135596.1,2314,NR_135596.1,2314
LOC107986116,XR_001740859.3,17066,XR_001740859.3,17066
EPC2,NM_015630.4,142819,XM_011510941.3,142819
SLC25A10,NM_001270888.2,8729,NM_001270953.2,8729
SMC5,NM_015110.4,95896,XM_047423036.1,95896
ZNF93,NM_031218.4,34630,NM_031218.4,34630
LINC01871,NR_183384.1,4943,NR_183384.1,4943
LOC105374277,XR_924827.2,32373,XR_924827.2,32373
LOC112268039,XR_002956870.1,2367,XR_002956870.1,2367
NPPC,NM_024409.4,4588,XM_011511245.4,4588
LOC124904424,XR_007066632.1,1620,XR_007066632.1,1620
TAAR6,NM_175067.1,1038,NM_175067.1,1038
LOC124908012,XR_007088281.1,1603,XR_007088281.1,1603
THBS1,XM_047432980.1,18388,XM_011521971.3,18388
E2F3,NM_001949.5,91836,XM_011514324.4,91836
MIR4433B,NR_106995.1,102,NR_106995.1,102
LOC105377352,NR_188418.1,17498,NR_188418.1,17498
LOC124901412,XR_007059790.1,11864,XR_007059790.1,11864
GALNT1,XM_047437466.1,130913,NM_001384438.1,130913
ALG1L1P,NR_171197.1,61266,NR_171196.1,61266
LOC105378035,XR_007059795.1,14139,XR_007059796.1,14139
CTBP2,XM_047424671.1,178147,XM_047424671.1,178147
DENND5B-AS1,NR_046909.1,25429,NR_046909.1,25429
ENKUR,NM_001270383.2,80343,NM_001270383.2,80343
BCLAF1,NM_014739.3,33220,NM_014739.3,33220
HORMAD2-AS1,NR_110541.2,71512,NR_110541.2,71512
LOC124902125,XR_007061425.1,26637,XR_007061425.1,26637
PPP2R2D,XM_006717914.4,70526,XM_006717914.4,70526
TXNRD3,NM_001173513.3,48075,NM_052883.3,48075
ANKRD27,NM_032139.3,78175,NM_032139.3,78175
EMX2,NM_004098.4,6801,NM_001165924.2,6801
C6orf136,NM_001161376.2,6075,NM_145029.4,6075
LINC00526,NR_026849.1,1306,NR_026849.1,1306
RDM1P5,NR_174975.1,34940,NR_174975.1,34940
MTLN,NM_001384134.1,1019,NM_001384134.1,1019
MIR298,NR_030580.1,88,NR_030580.1,88
LETM1,XM_006713884.2,44678,NM_012318.3,44678
TRIM39,NM_001369523.1,17261,NM_001369522.1,17268
LOXL2,NM_002318.3,107224,NM_002318.3,107224
GOLGA6B,NM_018652.5,14903,NM_018652.5,14903
LOC107985704,XR_001755915.2,76931,XR_001755915.2,76931
FAM215A,NR_026770.1,780,NR_026770.1,780
LOC124901658,XR_007060358.1,6142,XR_007060358.1,6142
GPR50-AS1,NR_135300.1,2639,NR_135300.1,2639
LOC124900308,XR_007063002.1,63,XR_007063002.1,63
LOC124900520,XR_007088711.1,129,XR_007088711.1,129
HOXA1,NM_153620.3,3008,NM_005522.5,3008
LOC105373870,XR_001739231.2,3222,XR_001739231.2,3222
LOC105373703,XR_007088689.1,158246,XR_007088689.1,158246
CERNA2,NR_134505.1,4849,NR_134505.1,4849
LOC124906158,XR_007088746.1,103,XR_007088746.1,103
PRH1-TAS2R14,NM_001316893.2,234202,NM_001316893.2,266150
LOC107987209,XR_001750915.3,19620,XR_001750915.3,19620
LOC105371580,XR_934315.4,5613,XR_934315.4,5613
MYO1B-AS1,NR_186085.1,17011,NR_186085.1,17011
LOC101927157,NR_125879.1,76511,NR_125879.1,76511
PCDHGA8,NM_032088.2,120343,NM_032088.2,120343
AVPR2,NR_027419.2,4542,NR_027419.2,4542
MSRB1,NM_001382264.1,4971,NM_016332.4,4971
LAMA5-AS1,NR_109922.1,3471,NR_109923.1,3471
LOC107987046,XR_001746614.2,100037,XR_001746614.2,100037
LOC107986307,XR_007058243.1,81900,XR_007058242.1,81900
ZNF883,NM_001101338.2,24064,NM_001101338.2,24064
LOC124903559,XR_007064768.1,4555,XR_007064768.1,4555
LINC00943,NR_038256.1,9250,NR_038256.1,9250
LOC105375065,XR_007059585.1,34842,XR_007059585.1,34842
RPS6,NM_001010.3,4522,NM_001010.3,4522
SURF2,NM_017503.5,4609,NM_001278928.2,4609
LOC105370287,XR_942130.2,20909,XR_942130.2,20909
CEP41,XM_047421055.1,47971,XM_047421053.1,47971
RFX5,NM_001379419.1,6613,XM_047426951.1,6613
COL12A1,NM_001424116.1,121728,NM_004370.6,121728
MMP25-AS1,NR_123723.1,7246,NR_123723.1,7246
PAX2,NM_001304569.2,94549,NM_001304569.2,94549
TGIF2LY,NM_139214.3,975,NM_139214.3,975
LOC107984618,XR_001750032.2,46289,XR_001750032.2,46289
MIR371B,NR_039909.1,66,NR_039909.1,66
MIR6823,NR_106881.1,61,NR_106881.1,61
GML,NM_002066.3,12051,NM_002066.3,12051
MINDY2,XM_011521687.3,90599,XM_024449964.2,90599
SPANXN1,NM_001009614.3,8706,NM_001009614.3,8706
PRORSD1P,NR_027258.1,2154,NR_027258.1,2154
LOC105369403,XR_007062797.1,26703,XR_007062798.1,26703
DBIL5P2,NR_036635.2,1692,NR_036635.2,1692
LOC112267902,XR_926691.3,11769,XR_007068749.1,16606
LOC107984876,XM_047434996.1,1089,XM_047434996.1,1089
PCSK1N,NM_013271.5,4515,NM_013271.5,4515
LINC01726,NR_109878.1,92799,NR_109878.1,92799
FARSA,NM_004461.3,11233,NM_004461.3,11233
ADAM15,NR_048578.2,11460,NM_207191.3,11460
MIR8085,NR_107052.1,65,NR_107052.1,65
LOC105370659,XR_001750879.2,16170,XR_001750879.2,16170
LRRC8C,XM_011542282.3,103710,XM_011542282.3,103710
RMI2,NR_130754.2,6302,NM_152308.3,6302
CDH17,NM_001144663.2,90117,NM_001144663.2,90117
MIDEAS-AS1,NR_109995.1,16269,NR_109995.1,16269
LINC00667,NR_015389.1,8409,NR_015389.1,8409
CAPG,XM_047445951.1,27939,XM_047445951.1,27939
HLA-DPB1,NM_002121.6,13707,NM_002121.6,13713
CDKL1,NM_001367064.3,71034,NM_001423763.1,71034
CHRDL1,NR_159734.1,121962,NM_001367204.1,121962
CEP20,NR_130757.2,22885,NM_001304499.2,22887
FOXD3,NM_012183.3,2562,NM_012183.3,2562
LOC124903583,XR_007064800.1,13560,XR_007064800.1,13560
RNU1-1,NR_004430.2,164,NR_004430.2,164
LOC105371746,XR_001752856.2,3005,XR_001752856.2,3005
LINC02376,NR_146537.1,10013,NR_146537.1,10013
MGAM2,NM_001293626.2,110607,NM_001293626.2,110607
AP3S2,NR_037582.2,63396,NM_005829.5,63396
PPDPF,NM_024299.4,1442,NM_024299.4,1442
LOC124904947,XR_007067707.1,1190,XR_007067707.1,1190
LOC124907738,XR_007086235.1,3668,XR_007086235.1,3668
MARK4,NM_031417.4,54014,XM_006723307.5,54014
PVR,NM_006505.5,22253,NM_001135769.3,22253
LOC105377275,XR_938875.3,3678,XR_938875.3,3678
GGACT,NM_001195087.2,58610,XM_047430708.1,58610
ZFP62,XM_047417504.1,34407,XM_047417504.1,34407
LINC02250,NR_187215.1,122536,NR_187215.1,122536
LOC124905190,XR_007068242.1,7621,XR_007068242.1,7621
CES4A,XM_011523021.3,21829,XM_011523030.3,21829
GORASP1,NR_103866.2,11029,NM_031899.4,11029
VASH1-AS1,NR_104184.1,4992,NR_104183.1,4992
PIN1-DT,NR_183873.1,937,NR_183873.1,937
LOC105373933,XR_007088124.1,16523,XR_007088124.1,16523
LINC02046,NR_146712.1,119066,NR_146712.1,119066
LOC124902991,XR_007063414.1,4313,XR_007063414.1,4313
SLC6A16,XM_047438703.1,50693,XM_047438701.1,50693
RNVU1-14,NR_104075.1,164,NR_104075.1,164
EIF3G,NM_003755.5,4886,NM_003755.5,4886
LOC105372887,XR_007066850.1,3901,XR_007066850.1,3901
MIR3681,NR_037452.1,72,NR_037452.1,72
HSPA14,NM_016299.4,33436,NM_016299.4,33436
ALKBH3,NM_139178.4,39444,NM_139178.4,39444
LOC105372981,XR_938124.2,56572,XR_938124.2,56572
SLC19A2,NM_001319667.1,22062,NM_001319667.1,22062
LOC124908061,XR_007088688.1,2980,XR_007088688.1,2980
SPON2,NM_001199021.2,41913,NM_001199021.2,41913
PPP1R2B,NM_206858.3,2234,NM_206858.3,2234
ZDHHC14,NM_024630.3,296968,XM_047419366.1,296968
LOC105373292,XR_938464.3,32993,XR_938464.3,32993
PPME1,NM_001271593.2,83415,NM_016147.3,83415
DDX11L9,NR_034090.1,2536,NR_051985.1,2536
LOC124903524,XR_007064709.1,5751,XR_007064709.1,5751
PANX1,NM_015368.4,53128,NM_015368.4,53128
KLRC1,NM_001304448.1,12422,NM_001304448.1,12422
LOC101928046,XR_007064236.1,60413,XR_007064236.1,60413
NEUROG2,NM_024019.4,2665,NM_024019.4,2665
PLPP7,NM_032728.4,19539,NM_032728.4,19539
SNAR-A5,NR_024223.1,121,NR_024223.1,121
CRB1,NM_001257965.2,276952,XM_047416573.1,276952
LOC124904538,XR_007066919.1,9759,XR_007066919.1,9759
EPHA1,NM_005232.5,17728,NM_005232.5,17728
LOC100505918,NR_037851.2,22466,NR_176058.1,22466
LOC124904724,XR_007067264.1,11855,XR_007067264.1,11855
LOC124904528,XR_007066907.1,360,XR_007066907.1,360
GCFC2,XM_047445615.1,50418,XM_047445615.1,50418
LOC105372167,XR_935578.2,1062,XR_935578.2,1062
ERCC8-AS1,NR_183288.1,2385,NR_183288.1,2385
ANK2-AS1,XR_007058232.1,15431,XR_007058232.1,15431
LOC124906195,XR_007088773.1,216,XR_007088773.1,216
YRDC,NM_024640.4,5264,NM_024640.4,5264
LOC124901034,XR_007058881.1,3340,XR_007058881.1,3340
FRZB,NM_001463.4,33363,NM_001463.4,33363
FASTKD3,NR_036553.2,9873,NM_024091.4,9873
PRR32,NM_001122716.2,2058,NM_001122716.2,2058
ACSM2B,NM_001410902.1,40142,NM_182617.4,40142
MTMR9,XM_047422125.1,54711,XM_047422125.1,54711
TDH-AS1,NR_147705.1,1769,NR_147705.1,1769
LOC105378556,XR_946464.1,2407,XR_946464.1,2407
MUC12,NM_001164462.2,49372,NM_001164462.2,49372
SLC2A2,NM_001278658.2,30374,NM_000340.2,30374
LOC101927018,NR_110803.1,18475,NR_110803.1,18475
TJP1,XM_005254620.4,269683,XM_054330044.1,270719
BSND,NM_057176.3,18240,NM_057176.3,18240
LOC100652931,NR_104151.1,3707,NR_104151.1,3707
LOC105369266,NR_158162.1,17249,NR_158162.1,17249
LOC124904434,XR_007066678.1,3015,XR_007066678.1,3015
SPAG8,NR_159431.2,4478,XM_024447512.2,4478
LOC124902318,XR_007061885.1,14300,XR_007061885.1,14300
LOC124902032,XR_007061133.1,13087,XR_007061133.1,13087
CHML,NM_001381854.1,11519,NM_001381853.1,11519
LOC105372711,XR_001754702.2,10747,XR_007067702.1,10747
LOC107986019,XR_001740445.1,72345,XR_001740445.1,72345
MICB-DT,NR_149132.1,14877,NR_149132.1,14962
MBNL2,NM_001382649.1,252287,NM_001382696.1,252287
LOC107985282,XR_001753859.2,592,XR_001753859.2,592
LOC124902215,XM_047424311.1,6328,XM_047424313.1,6328
LOC105375334,XR_001744938.2,82449,XR_927613.3,82449
CAPRIN2,NR_169636.1,45399,NM_001385518.1,45399
UBE2O,XM_017024935.2,63697,XM_024450865.2,63697
LOC105371808,XR_934811.2,7120,XR_934811.2,7120
CXCL17,NR_133910.2,14669,NM_198477.3,14669
LOC107986935,XR_001745860.2,1046,XR_001745860.2,1046
TIMP4,NM_003256.4,5845,NM_003256.4,5845
DBH-AS1,NR_102735.1,2822,NR_102735.1,2822
FKBP9P1,NR_003949.1,23494,NR_003949.1,23494
LOC124903270,XR_007063969.1,101,XR_007063969.1,101
DRC3,XM_024450964.2,44077,XM_024450963.2,44077
NT5DC1,NM_152729.3,148645,NM_152729.3,148645
MIR7111,NR_106961.1,72,NR_106961.1,72
LOC105374709,XR_007058714.1,15426,XR_007058714.1,15426
LINC01191,NR_148509.1,48514,NR_148509.1,48514
LOC105376121,XR_001746810.2,42215,XR_001746810.2,42215
DCBLD1,NM_173674.3,87185,NM_173674.3,87185
DUSP1,NM_004417.4,3100,NM_004417.4,3100
LOC124900987,XR_007058789.1,13409,XR_007058789.1,13409
HBB,NM_000518.5,1608,NM_000518.5,1608
LOC105375340,XR_001745238.2,32332,XR_001745238.2,32332
RAB25,NR_133653.2,9345,NM_020387.4,9345
ZNF208,NM_001329974.2,71129,NM_001329971.2,71129
LOC105375414,XR_927783.2,17583,XR_927783.2,17583
PYCARD,NM_145182.3,1275,NM_013258.5,1275
LOC124902885,XR_007063221.1,559,XR_007063221.1,559
LOC105373042,XR_938271.3,11264,XR_938271.3,11264
RRAGA,NM_006570.5,1599,NM_006570.5,1599
ESX1,NM_153448.4,4896,NM_153448.4,4896
MIR4280,NR_036243.1,76,NR_036243.1,76
LOC105373352,NR_136168.1,3893,NR_136169.1,3893
LOC105374510,XR_001741602.2,428164,XR_001741602.2,428164
LOC105378621,XR_947134.2,7273,XR_947133.2,7273
LOC102724851,XR_007059524.1,16722,XR_007069503.1,16885
ICE1,NM_015325.3,67544,NM_015325.3,67544
LOC124904868,XR_007067522.1,4154,XR_007067522.1,4154
MRPS25,NR_135247.2,23065,NR_135246.2,23065
LOC102723334,XR_428139.4,8315,XR_428139.4,8315
RMEL3,NR_186596.1,140307,NR_186596.1,140307
HECTD3,NM_024602.6,8777,NM_024602.6,8777
RGS17,NM_012419.5,126824,XM_047418634.1,126824
HSPA13,NM_006948.5,12032,NM_006948.5,12032
PCDHGB1,NM_018922.3,162877,NM_018922.3,162877
FGF10,XM_005248264.5,89174,NM_004465.2,89174
LHX2,XM_006717323.4,21534,NM_004789.4,21534
LOC124901384,XR_007059719.1,3761,XR_007059719.1,3761
OTUD7A,NM_001382637.1,395276,NM_130901.3,395276
MAN1A2,NM_006699.5,161424,XM_006710302.4,161424
CROCCP3,NR_023386.1,25266,NR_023386.1,25269
SNORD114-21,NR_003214.1,71,NR_003214.1,71
LOC105374811,NR_168009.1,125490,NR_168010.1,125490
FER1L6-AS2,NR_103547.1,125452,NR_103547.1,125452
SRSF9,NM_003769.3,8077,NM_003769.3,8077
LRRC52-AS1,NR_026744.2,105314,NR_026744.2,105314
LOC124902900,XR_007063247.1,4545,XR_007063247.1,4545
MRFAP1L2,NM_138699.3,1973,XM_047416420.1,1973
LOC124903611,XR_007064836.1,101,XR_007064836.1,101
LOC105371281,XR_001752201.2,14567,XR_001752201.2,14567
LLCFC1,NM_001382496.1,1385,NM_001382496.1,1385
LOC124904029,XR_007065849.1,2479,XR_007065849.1,2479
SPN,NM_001030288.4,7914,NM_001030288.4,7914
ACTR3BP2,NR_027714.1,1338,NR_027714.1,1338
CT45A10,NM_001291529.2,12380,NM_001291530.2,12380
LOC124905635,XR_007069620.1,1609,XR_007069620.1,1609
MIR4754,NR_039910.1,89,NR_039910.1,89
LOC101929638,XR_430436.4,25570,XR_007068047.1,25570
LOC105377842,XR_942658.3,51796,XR_942658.3,51796
WSB1,NR_145520.2,21813,NM_134265.4,21813
DCAF4,NM_001352448.3,35635,NM_001352448.3,35635
LINC00363,NR_126360.1,12586,NR_126360.1,12586
ADIPOR2,XM_011521024.2,97605,NM_024551.3,97605
OR4K13,NM_001004714.2,6640,NM_001386029.1,6640
TTTY14,NR_125735.1,205047,NR_125733.1,205047
MYOCD,NM_001378306.1,103060,XM_017025342.1,103060
CCDC62,NM_201435.5,52957,XM_011538856.3,52957
LOC105379216,XR_002959175.1,482,XR_002959175.1,482
LINC00597,NR_026813.1,1512,NR_026813.1,1512
LOC105377277,XR_938878.2,22937,XR_938878.2,22937
SLURP1,NM_020427.3,1458,NM_020427.3,1458
CCDC38,XM_011537883.3,76186,XM_011537883.3,76186
PANK1,NM_138316.4,64422,XM_017016333.3,64422
MID1,NM_033290.4,388374,NM_033290.4,388374
LOC105375144,XR_001745084.2,62784,XR_001745084.2,62784
LOC105371995,NR_188006.1,1743,NR_188006.1,1743
LOC101927583,NR_120450.1,3499,NR_120450.1,3499
LOC124902196,XR_007061638.1,13631,XR_007061638.1,13631
LOC124901074,XR_007058947.1,5693,XR_007058947.1,5693
LOC105376622,XR_931180.3,4034,XR_931180.3,4034
NTPCR,NR_138024.2,33272,NM_001329453.2,33272
LOC124905321,XR_007068532.1,164,XR_007068532.1,164
LOC105378328,NR_188199.1,1892,NR_188199.1,1892
LOC101927010,XR_241555.5,2401,XR_241555.5,2401
TMEM207,NM_207316.3,21247,NM_207316.3,21247
PDF,NM_022341.2,3676,NM_022341.2,3676
LINC01877,NR_110270.1,51065,NR_110270.1,51065
SPRR1A,NM_001199828.2,1734,NM_005987.4,1734
UPP1,NM_001287426.2,20033,NM_001287428.2,20033
LOC107984469,XR_007063272.1,4162,XR_007063272.1,4162
SGF29,XM_017022894.2,37871,NM_138414.3,37871
TRMT10A,NM_001134666.3,17329,NM_001134665.3,17329
SAP25,NM_001168682.3,1673,NM_001348677.2,1673
NHS,NM_001291867.2,360795,NM_198270.4,360795
CHORDC1P4,NR_026659.1,3412,NR_026659.1,3412
DDI1,NM_001001711.3,2557,NM_001001711.3,2557
LOC101927293,NR_187654.1,12140,NR_187656.1,12140
LOC105376248,XR_930294.2,6457,XR_930294.2,6457
HSFX3,NM_001323079.3,1715,NM_001323079.3,1715
GNG12,NM_018841.6,131993,XM_047425415.1,131993
GSTM4,XR_007059238.1,11629,XR_007059238.1,11629
LOC124902253,XR_007061742.1,4020,XR_007061742.1,4020
SAR1A,NM_020150.5,23226,NM_001142648.2,23226
SLA2,NM_175077.3,33879,NM_032214.4,33879
KRTAP9-3,NM_031962.3,1006,NM_031962.3,1006
CALCOCO1,NR_026554.2,18936,XM_011538603.3,18936
PEX6,NR_133009.2,15317,NM_000287.4,15317
LOC101928505,NR_104668.1,20330,NR_104668.1,20330
SPRR3,NM_005416.3,2108,NM_001097589.2,2108
